"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"204","P49450","CENPA","3",1625,4,2.40898811686733,"AF-P49450-F1-model_v4","P49450-F1",0.14,0.815,2,82.0783628318584
"205","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F1-model_v4","P49454-F1",0.399,0.524,2,72.4119894505495
"206","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F10-model_v4","P49454-F10",0.416,0.769,3,73.1536007249142
"207","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F2-model_v4","P49454-F2",0.173,0.336,0,71.950278588485
"208","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F6-model_v4","P49454-F6",0.437,0.484,2,70.995527633697
"209","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F9-model_v4","P49454-F9",0.372,0.826,1,72.0016993930739
"210","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F8-model_v4","P49454-F8",0.307,0.792,6,71.5561330839123
"211","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F7-model_v4","P49454-F7",0.122,0.906,1,71.418744961032
"212","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F4-model_v4","P49454-F4",0.416,0.452,1,70.5056078431373
"213","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F3-model_v4","P49454-F3",0.328,0.243,0,70.3329779477147
"214","P49454","CENPF","3",0,2,2.70442150665805,"AF-P49454-F5-model_v4","P49454-F5",0.219,0.384,0,70.8340929025329
"215","P49458","SRP9","30",1,2,1.05986641910448,"AF-P49458-F1-model_v4","P49458-F1",0.408,0.719,1,90.5225920679887
"216","P49642","PRIM1","3",0,2,1.18720765719999,"AF-P49642-F1-model_v4","P49642-F1",0.222,0.516,1,92.913534923339
"217","P49720","PSMB3","3",543,2,1.06501648724043,"AF-P49720-F1-model_v4","P49720-F1",0.327,0.33,0,97.3788868042527
"218","P49736","MCM2","3",0,1,1.72875506855876,"AF-P49736-F1-model_v4","P49736-F1",0.139,0.522,3,76.522590572108
"219","P49747","COMP","3",1085,3,1.59687342231463,"AF-P49747-F1-model_v4","P49747-F1",0.18,0.681,2,88.5665641202904
"220","P50150","GNG4","3",543,2,2.32913054093637,"AF-P50150-F1-model_v4","P50150-F1",0.326,0.428,1,87.9333619210978
"221","P50748","KNTC1","3",0,1,1.44934576167386,"AF-P50748-F1-model_v4","P50748-F1",0.225,0.659,4,71.099087504256
"222","P51170","SCNN1G","10",18,2,1.14669673747949,"AF-P51170-F1-model_v4","P51170-F1",0.109,0.087,0,80.3873918039066
"223","P51530","DNA2","3",31657,11,1.77373895286259,"AF-P51530-F1-model_v4","P51530-F1",0.216,0.741,2,87.5620381561796
"224","P51587","BRCA2","3",3434,7,1.51233524420534,"AF-P51587-F10-model_v4","P51587-F10",0.092,0.678,3,62.8549091072714
"225","P51587","BRCA2","3",3434,7,1.51233524420534,"AF-P51587-F11-model_v4","P51587-F11",0.066,0.783,2,62.0825062859195
"226","P51587","BRCA2","3",3434,7,1.51233524420534,"AF-P51587-F9-model_v4","P51587-F9",0.072,0.246,0,55.0772757624977
"227","P51587","BRCA2","3",3434,7,1.51233524420534,"AF-P51587-F12-model_v4","P51587-F12",0.083,0.796,1,65.838077675904
"228","P51587","BRCA2","3",3434,7,1.51233524420534,"AF-P51587-F8-model_v4","P51587-F8",0.27,0.607,2,50.7637532832171
"229","P51826","AFF3","3",543,2,1.35063035841731,"AF-P51826-F1-model_v4","P51826-F1",0.285,0.879,1,52.23966994232
"230","P51858","HDGF","3",0,1,1.00029747320161,"AF-P51858-F1-model_v4","P51858-F1",0.359,0.25,0,68.36682952735
"231","P51955","NEK2","3",2,4,3.41842388322315,"AF-P51955-F1-model_v4","P51955-F1",0.136,0.658,2,78.7481933351694
"232","P52292","KPNA2","3",0,4,2.18742432686616,"AF-P52292-F1-model_v4","P52292-F1",0.024,0.711,1,86.1073162939297
"233","P52732","KIF11","3",932,8,2.34496229213433,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088
"234","P53350","PLK1","3",14562,12,2.61598843464096,"AF-P53350-F1-model_v4","P53350-F1",0.175,0.953,2,85.1698896752706
"235","P53803","POLR2K","3",7412,10,1.19946199839289,"AF-P53803-F1-model_v4","P53803-F1",0.265,0.685,1,86.0205761316872
"236","P54132","BLM","3",0,4,1.82834894903517,"AF-P54132-F1-model_v4","P54132-F1",0.161,0.616,1,60.9577520838935
"237","P54284","CACNB3","10",0,1,1.17697825226952,"AF-P54284-F1-model_v4","P54284-F1",-0.018,0.756,1,74.0703333333333
"238","P55060","CSE1L","3",0,1,1.15562614109558,"AF-P55060-F1-model_v4","P55060-F1",0.186,0.752,1,91.2524199974296
"239","P55317","FOXA1","3",6170,9,1.96317274231129,"AF-P55317-F1-model_v4","P55317-F1",0.266,0.29,0,57.4864323067984
"240","P55327","TPD52","3",3350,4,2.12209292458921,"AF-P55327-F1-model_v4","P55327-F1",0.35,0.412,1,68.1763684210526
"241","P56159","GFRA1","3",0,1,1.90545354365511,"AF-P56159-F1-model_v4","P56159-F1",0.1,0.638,1,73.8963423473655
"242","P56282","POLE2","3",1193,4,1.62060563292512,"AF-P56282-F1-model_v4","P56282-F1",0.232,0.619,2,92.8374541557514
"243","P56937","HSD17B7","22",0,1,1.057509260865,"AF-P56937-F1-model_v4","P56937-F1",0.196,0.996,1,90.4883364346855
"244","P57055","RIPPLY3","33",0,1,2.76497710101771,"AF-P57055-F1-model_v4","P57055-F1",0.376,0.715,1,61.9608774373259
"245","P58876","H2BC5","3",35685,15,1.96295099857326,"AF-P58876-F1-model_v4","P58876-F1",0.283,0.959,1,87.5827170582227
"246","P60510","PPP4C","3",0,1,1.01659605567632,"AF-P60510-F1-model_v4","P60510-F1",0.387,0.933,1,94.8774645605508
"247","P60602","ROMO1","29",0,2,1.07631893619004,"AF-P60602-F1-model_v4","P60602-F1",0.413,0.649,3,78.1310854092527
"248","P60763","RAC3","3",2879,6,1.21874772267165,"AF-P60763-F1-model_v4","P60763-F1",0.341,0.937,1,93.8337150466045
"249","P61024","CKS1B","3",3692,3,1.12758785994544,"AF-P61024-F1-model_v4","P61024-F1",0.172,0.423,1,92.1724926686217
"250","P61604","HSPE1","3",0,2,1.141410150657,"AF-P61604-F1-model_v4","P61604-F1",0.264,0.136,0,88.7677662337662
"251","P62136","PPP1CA","3",16299,12,1.04582141192379,"AF-P62136-F1-model_v4","P62136-F1",0.206,0.44,1,91.5526896813354
"252","P62304","SNRPE","3",2166,5,1.12248954472587,"AF-P62304-F1-model_v4","P62304-F1",0.35,0.297,0,91.1812698412698
"253","P62805","H4C9","3",0,1,1.51771141114876,"AF-P62805-F1-model_v4","P62805-F1",0.336,0.581,1,90.437525
"254","P62805","H4C8","3",25660,14,1.94577118312575,"AF-P62805-F1-model_v4","P62805-F1",0.336,0.581,1,90.437525
"255","P62807","H2BC6","3",543,2,2.71036667146848,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"256","P62807","H2BC4","3",108,10,1.98936425922203,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"257","P62807","H2BC8","3",543,2,1.73477155802748,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221
"258","P63104","YWHAZ","3",21959,8,1.17725637808637,"AF-P63104-F1-model_v4","P63104-F1",0.287,0.842,1,94.3001079691517
"259","P68431","H3C10","3",2179,3,2.58234731435364,"AF-P68431-F1-model_v4","P68431-F1",0.351,0.623,1,87.2869195189639
"260","P68431","H3C6","3",0,2,1.32144277477214,"AF-P68431-F1-model_v4","P68431-F1",0.351,0.623,1,87.2869195189639
"261","P78371","CCT2","3",1151,5,1.13735374101421,"AF-P78371-F1-model_v4","P78371-F1",0.089,0.737,1,89.6664241370747
"262","P78380","OLR1","3",0,1,1.33271306570427,"AF-P78380-F1-model_v4","P78380-F1",0.388,0.476,1,87.4070948434622
"263","P78406","RAE1","3",543,2,1.1317968008169,"AF-P78406-F1-model_v4","P78406-F1",0.218,0.037,0,93.5317598056231
"264","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F14-model_v4","P78527-F14",0.225,0.947,1,79.5754512957998
"265","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F7-model_v4","P78527-F7",0.101,0.515,1,81.4866648779179
"266","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F10-model_v4","P78527-F10",0.084,0.591,3,75.0145008370782
"267","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F9-model_v4","P78527-F9",0.203,0.635,1,75.7743399398337
"268","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F3-model_v4","P78527-F3",0.057,0.387,0,77.4371153324288
"269","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F5-model_v4","P78527-F5",0.124,0.936,1,78.1690276402269
"270","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F12-model_v4","P78527-F12",0.203,0.97,2,76.2208314108252
"271","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F8-model_v4","P78527-F8",0.145,0.975,3,75.5738346533772
"272","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F2-model_v4","P78527-F2",0.42,0.943,3,77.9150620527222
"273","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F1-model_v4","P78527-F1",0.107,0.372,0,77.8585255369067
"274","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F11-model_v4","P78527-F11",0.146,0.732,2,72.8111829960951
"275","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F15-model_v4","P78527-F15",0.348,0.532,3,84.4983779719951
"276","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F6-model_v4","P78527-F6",0.222,0.387,0,82.9093907260963
"277","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F4-model_v4","P78527-F4",0.145,0.386,0,81.1829685117072
"278","P78527","PRKDC","3",2439,8,1.001024071693,"AF-P78527-F13-model_v4","P78527-F13",0.191,0.725,2,77.9421346222065
"279","P80404","ABAT","1",0,1,1.37579445504246,"AF-P80404-F1-model_v4","P80404-F1",0.258,0.621,2,94.0412953629032
"280","P82930","MRPS34","3",0,3,1.17018699815175,"AF-P82930-F1-model_v4","P82930-F1",0.351,0.505,1,82.715019326339
"281","Q00535","CDK5","3",1085,4,1.14677092477932,"AF-Q00535-F1-model_v4","Q00535-F1",0.253,0.522,1,91.4416410912191
"282","Q00610","CLTC","3",8183,7,1.39783128761299,"AF-Q00610-F1-model_v4","Q00610-F1",0.181,0.863,2,78.0416780364823
"283","Q00796","SORD","1",0,1,1.71426854237148,"AF-Q00796-F1-model_v4","Q00796-F1",0.207,0.55,1,98.0611094564408
"284","Q01094","E2F1","3",2325,8,2.357706350822,"AF-Q01094-F1-model_v4","Q01094-F1",0.159,0.295,0,63.7350409463148
"285","Q01650","SLC7A5","3",0,1,1.52548760005485,"AF-Q01650-F1-model_v4","Q01650-F1",0.097,0.862,2,86.240030919866
"286","Q01668","CACNA1D","10",8,2,1.00270508518845,"AF-Q01668-F1-model_v4","Q01668-F1",0.099,0.962,7,64.4089646376812
"287","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F1-model_v4","Q02224-F1",0.308,0.67,2,71.0705068277311
"288","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F8-model_v4","Q02224-F8",0.191,0.88,2,74.1531594148887
"289","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F7-model_v4","Q02224-F7",0.304,0.741,2,72.4408738281586
"290","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F3-model_v4","Q02224-F3",0.416,0.949,1,70.8415997235899
"291","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401
"292","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F5-model_v4","Q02224-F5",0.235,0.575,2,73.0695095601475
"293","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F2-model_v4","Q02224-F2",0.126,0.96,2,70.7644444444445
"294","Q02224","CENPE","3",2163,4,2.47270450259019,"AF-Q02224-F4-model_v4","Q02224-F4",0.168,0.487,1,72.3195598895409
"295","Q02241","KIF23","3",29823,6,2.26038313759197,"AF-Q02241-F1-model_v4","Q02241-F1",0.314,0.498,1,73.073534214619
"296","Q02790","FKBP4","3",0,1,1.64798018062342,"AF-Q02790-F1-model_v4","Q02790-F1",0.358,0.411,1,90.5499396102114
"297","Q03692","COL10A1","2",9,3,2.7054420826603,"AF-Q03692-F1-model_v4","Q03692-F1",-0.01,0.058,0,61.4977457264957
"298","Q05639","EEF1A2","3",15526,3,3.48415376245833,"AF-Q05639-F1-model_v4","Q05639-F1",0.384,0.71,1,88.7397970115591
"299","Q06609","RAD51","3",9839,6,2.21692222976869,"AF-Q06609-F1-model_v4","Q06609-F1",0.282,0.64,1,91.5906682116647
"300","Q07325","CXCL9","3",0,2,1.21298552940287,"AF-Q07325-F1-model_v4","Q07325-F1",0.304,0.283,0,87.9239755351682
"301","Q07617","SPAG1","3",3709,4,1.58358483341053,"AF-Q07617-F1-model_v4","Q07617-F1",0.129,0.613,1,74.4880975945017
"302","Q07654","TFF3","3",0,1,2.28128049744998,"AF-Q07654-F1-model_v4","Q07654-F1",0.405,0.466,1,80.138
"303","Q08050","FOXM1","3",561,4,2.66267425869121,"AF-Q08050-F1-model_v4","Q08050-F1",0.173,0.701,1,51.0762881727687
"304","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F11-model_v4","Q0VDD8-F11",0.166,0.42,1,72.3896319180863
"305","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F8-model_v4","Q0VDD8-F8",0.076,0.471,1,72.3346780051377
"306","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F3-model_v4","Q0VDD8-F3",0.071,0.763,3,66.5865160193306
"307","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F5-model_v4","Q0VDD8-F5",0.137,0.765,3,73.1195044802867
"308","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F10-model_v4","Q0VDD8-F10",0.204,0.827,1,70.0951812044768
"309","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F4-model_v4","Q0VDD8-F4",0.1,0.484,2,72.4193902439024
"310","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F6-model_v4","Q0VDD8-F6",0.103,0.882,1,74.401587315766
"311","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F12-model_v4","Q0VDD8-F12",0.154,0.765,3,72.1066518364256
"312","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F2-model_v4","Q0VDD8-F2",0.078,0.854,4,65.7317253992328
"313","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F9-model_v4","Q0VDD8-F9",0.177,0.447,1,71.3262700594024
"314","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F7-model_v4","Q0VDD8-F7",0.111,0.446,1,75.2500213466157
"315","Q0VDD8","DNAH14","15",0,1,1.2427231229588,"AF-Q0VDD8-F1-model_v4","Q0VDD8-F1",0.114,0.986,3,58.4397318214543
"316","Q12809","KCNH2","23",0,1,2.05064752392889,"AF-Q12809-F1-model_v4","Q12809-F1",0.079,0.896,2,63.8125348001796
"317","Q12834","CDC20","3",568,4,2.19384030514788,"AF-Q12834-F1-model_v4","Q12834-F1",0.319,0.217,0,84.8543494038362
"318","Q13112","CHAF1B","3",0,1,1.30873690726804,"AF-Q13112-F1-model_v4","Q13112-F1",0.173,0.789,1,75.3852922152922
"319","Q13136","PPFIA1","3",1080,4,1.0474934020591,"AF-Q13136-F1-model_v4","Q13136-F1",0.223,0.777,1,69.3935082001682
"320","Q13158","FADD","3",528,2,1.31252096831581,"AF-Q13158-F1-model_v4","Q13158-F1",-0.019,0.05,0,71.5538466257669
"321","Q13185","CBX3","3",3750,9,1.03503583315933,"AF-Q13185-F1-model_v4","Q13185-F1",0.266,0.227,0,76.0843111720356
"322","Q13232","NME3","3",0,2,1.08341945778628,"AF-Q13232-F1-model_v4","Q13232-F1",0.101,0.855,1,92.6674104477612
"323","Q13257","MAD2L1","3",1911,5,2.0822555007538,"AF-Q13257-F1-model_v4","Q13257-F1",0.178,0.019,0,93.7585265700483
"324","Q13275","SEMA3F","3",0,1,1.21072163970688,"AF-Q13275-F1-model_v4","Q13275-F1",0.253,0.342,0,84.1191994856133
"325","Q13323","BIK","5",0,1,1.24758865158289,"AF-Q13323-F1-model_v4","Q13323-F1",0.409,0.883,2,62.542898089172
"326","Q13387","MAPK8IP2","27",0,1,2.17525973829966,"AF-Q13387-F1-model_v4","Q13387-F1",0.174,0.869,1,51.7187309562399
"327","Q13415","ORC1","3",33740,7,1.79811699067926,"AF-Q13415-F1-model_v4","Q13415-F1",0.154,0.765,1,67.9746077283372
"328","Q13541","EIF4EBP1","3",0,1,1.36945588409345,"AF-Q13541-F1-model_v4","Q13541-F1",0.32,0.379,0,71.2936177474403
"329","Q13794","PMAIP1","5",0,1,1.819559523789,"AF-Q13794-F1-model_v4","Q13794-F1",0.317,0.217,0,82.9101421800948
"330","Q13882","PTK6","3",42,2,1.43664342662463,"AF-Q13882-F1-model_v4","Q13882-F1",0.137,0.283,0,89.1669529540481
"331","Q14008","CKAP5","3",0,1,1.00267094620785,"AF-Q14008-F1-model_v4","Q14008-F1",0.092,0.093,0,75.9002847020119
"332","Q14114","LRP8","27",0,1,1.16237828269777,"AF-Q14114-F1-model_v4","Q14114-F1",0.423,0.171,0,73.6217830508475
"333","Q14137","BOP1","3",0,1,1.11936310376932,"AF-Q14137-F1-model_v4","Q14137-F1",0.149,0.393,0,80.784320380112
"334","Q14166","TTLL12","3",0,1,1.20455412065692,"AF-Q14166-F1-model_v4","Q14166-F1",0.183,0.961,2,91.1891239763854
"335","Q14197","MRPL58","3",3761,4,1.06024190215319,"AF-Q14197-F1-model_v4","Q14197-F1",0.332,0.434,1,84.3899457504521
"336","Q14209","E2F2","3",0,1,1.88362974421665,"AF-Q14209-F1-model_v4","Q14209-F1",0.18,0.079,0,64.0825988023952
"337","Q14247","CTTN","3",3170,7,1.03630413990322,"AF-Q14247-F1-model_v4","Q14247-F1",0.112,0.234,0,62.8390287686997
"338","Q14527","HLTF","3",0,1,1.02255711509129,"AF-Q14527-F1-model_v4","Q14527-F1",0.179,0.705,1,69.8680247376312
"339","Q14534","SQLE","36",0,1,2.11981613461913,"AF-Q14534-F1-model_v4","Q14534-F1",0.304,0.953,2,86.1164581947217
"340","Q14566","MCM6","3",0,4,1.07056448943705,"AF-Q14566-F1-model_v4","Q14566-F1",0.032,0.695,2,77.3392261722341
"341","Q14651","PLS1","3",0,1,1.07615082337455,"AF-Q14651-F1-model_v4","Q14651-F1",0.067,0.423,1,87.84443273906
"342","Q14654","KCNJ11","3",0,1,1.40984486953328,"AF-Q14654-F1-model_v4","Q14654-F1",0.126,0.592,1,84.5652303168899
"343","Q14674","ESPL1","3",0,1,2.67484645625684,"AF-Q14674-F1-model_v4","Q14674-F1",0.619,0.885,1,75.7783475713937
"344","Q14680","MELK","3",0,1,2.74536578985892,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783
"345","Q14691","GINS1","3",0,1,2.31465737140941,"AF-Q14691-F1-model_v4","Q14691-F1",0.241,0.287,0,93.3026906385617
"346","Q14781","CBX2","3",899,9,2.08827308999762,"AF-Q14781-F1-model_v4","Q14781-F1",0.412,0.367,0,57.1826386768448
"347","Q14807","KIF22","3",3541,12,1.4443326786024,"AF-Q14807-F1-model_v4","Q14807-F1",0.267,0.381,0,74.1158770906262
"348","Q15003","NCAPH","3",0,1,2.46861093765574,"AF-Q15003-F1-model_v4","Q15003-F1",0.198,0.683,1,60.7197876747799
"349","Q15004","PCLAF","3",0,1,2.50065082470545,"AF-Q15004-F1-model_v4","Q15004-F1",0.264,0.167,0,66.1263971462545
"350","Q15058","KIF14","3",1148,7,3.00297456765072,"AF-Q15058-F1-model_v4","Q15058-F1",0.127,0.506,1,66.0463600917431
"351","Q15078","CDK5R1","3",0,1,1.20845420453998,"AF-Q15078-F1-model_v4","Q15078-F1",0.302,0.55,1,74.1145131633932
"352","Q15102","PAFAH1B3","26",0,1,1.85634626233804,"AF-Q15102-F1-model_v4","Q15102-F1",0.234,0.21,0,95.1374683544304
"353","Q15329","E2F5","3",5332,4,1.19980743227008,"AF-Q15329-F1-model_v4","Q15329-F1",0.475,0.489,1,71.9845571536715
"354","Q15369","ELOC","3",2941,7,1.22446571904734,"AF-Q15369-F1-model_v4","Q15369-F1",0.232,0.669,2,89.090824742268
"355","Q15398","DLGAP5","3",581,3,2.55790198644717,"AF-Q15398-F1-model_v4","Q15398-F1",0.128,0.669,1,56.3710199490026
"356","Q15468","STIL","3",0,1,1.83776985040756,"AF-Q15468-F1-model_v4","Q15468-F1",0.163,0.693,1,53.6494972568579
"357","Q15645","TRIP13","3",543,2,2.29097786692139,"AF-Q15645-F1-model_v4","Q15645-F1",0.249,0.677,2,86.9794004094765
"358","Q15646","OASL","3",543,2,1.70940901151058,"AF-Q15646-F1-model_v4","Q15646-F1",0.34,0.392,0,92.2869968892079
"359","Q15648","MED1","3",2673,8,1.07134227906486,"AF-Q15648-F1-model_v4","Q15648-F1",0.111,0.507,1,51.2956233579117
"360","Q15833","STXBP2","3",0,1,1.04807694293469,"AF-Q15833-F1-model_v4","Q15833-F1",0.122,0.43,1,90.5337283051211
"361","Q15910","EZH2","3",3036,6,1.78833467534389,"AF-Q15910-F1-model_v4","Q15910-F1",0.054,0.711,4,76.5958989797625
"362","Q16576","RBBP7","3",1637,16,1.22138311864065,"AF-Q16576-F1-model_v4","Q16576-F1",0.414,0.52,1,91.2677705306849
"363","Q16600","ZNF239","3",0,1,1.34931266282113,"AF-Q16600-F1-model_v4","Q16600-F1",0.248,0.294,0,62.8330030530114
"364","Q16610","ECM1","3",0,1,1.69904023613394,"AF-Q16610-F1-model_v4","Q16610-F1",0.196,0.839,2,68.8825199624237
"365","Q16623","STX1A","3",0,3,1.13516765641716,"AF-Q16623-F1-model_v4","Q16623-F1",0.413,0.587,1,84.9999696444059
"366","Q16625","OCLN","3",1185,4,1.08647814991973,"AF-Q16625-F1-model_v4","Q16625-F1",0.03,0.464,1,65.4761789397937
"367","Q16667","CDKN3","3",0,1,2.32947971960407,"AF-Q16667-F1-model_v4","Q16667-F1",0.472,0.413,1,91.0594891826923
"368","Q16763","UBE2S","3",30259,10,1.85508897033431,"AF-Q16763-F1-model_v4","Q16763-F1",0.168,0.552,1,81.850285884455
"369","Q16778","H2BC21","3",12168,11,1.9649846577232,"AF-Q16778-F1-model_v4","Q16778-F1",0.458,0.645,2,88.0431390593047
"370","Q17RS7","GEN1","3",0,1,1.08955059306559,"AF-Q17RS7-F1-model_v4","Q17RS7-F1",0.023,0.61,2,61.6134776575076
"371","Q1ED39","KNOP1","3",0,1,1.03439504791045,"AF-Q1ED39-F1-model_v4","Q1ED39-F1",0.464,0.637,1,54.6656662068966
"372","Q2NKX8","ERCC6L","3",0,1,2.42659375045761,"AF-Q2NKX8-F1-model_v4","Q2NKX8-F1",0.048,0.546,1,62.794578920827
"373","Q2Y0W8","SLC4A8","9",0,1,1.73403425071375,"AF-Q2Y0W8-F1-model_v4","Q2Y0W8-F1",0.253,0.915,2,72.9215543981481
"374","Q330K2","NDUFAF6","3",543,2,1.65640400157743,"AF-Q330K2-F1-model_v4","Q330K2-F1",0.166,0.473,1,87.6258215613383
"375","Q4KMQ1","TPRN","3",755,3,1.43719776821746,"AF-Q4KMQ1-F1-model_v4","Q4KMQ1-F1",0.104,0.09,0,55.3001764264264
"376","Q4ZG55","GREB1","3",0,1,1.21138011419564,"AF-Q4ZG55-F1-model_v4","Q4ZG55-F1",0.173,0.815,2,71.2735320378151
"377","Q53EZ4","CEP55","3",0,1,2.58483394563277,"AF-Q53EZ4-F1-model_v4","Q53EZ4-F1",0.284,0.386,0,82.7930478192328
"378","Q53FV1","ORMDL2","31",0,1,1.02456456480804,"AF-Q53FV1-F1-model_v4","Q53FV1-F1",0.267,0.963,1,94.0316246953696
"379","Q53H96","PYCR3","28",0,1,1.65988105850045,"AF-Q53H96-F1-model_v4","Q53H96-F1",0.416,0.6,1,94.8127209186221
"380","Q53HL2","CDCA8","3",543,6,2.30654577158856,"AF-Q53HL2-F1-model_v4","Q53HL2-F1",0.388,0.483,1,68.7891859936335
"381","Q56NI9","ESCO2","3",0,1,2.57031049152914,"AF-Q56NI9-F1-model_v4","Q56NI9-F1",0.462,0.344,0,58.41526875
"382","Q5BLP8","C4orf48","4",0,1,1.47053861968269,"AF-Q5BLP8-F1-model_v4","Q5BLP8-F1",0.365,0.167,0,78.2373870056497
"383","Q5BN46","PIERCE1","3",0,2,1.76767289147126,"AF-Q5BN46-F1-model_v4","Q5BN46-F1",0.223,0.365,0,76.8941324626866
"384","Q5EBM0","CMPK2","11",1,2,1.09179966264474,"AF-Q5EBM0-F1-model_v4","Q5EBM0-F1",0.064,0.706,2,87.3101898188093
"385","Q5FBB7","SGO1","3",0,2,2.81547659466035,"AF-Q5FBB7-F1-model_v4","Q5FBB7-F1",0.108,0.05,0,55.1732355555556
"386","Q5JR12","PPM1J","32",0,1,1.88410397282795,"AF-Q5JR12-F1-model_v4","Q5JR12-F1",0.197,0.201,0,85.0455175097276
"387","Q5JTJ3","COA6","3",0,2,1.07048151246718,"AF-Q5JTJ3-F1-model_v4","Q5JTJ3-F1",0.17,0.499,2,79.2902626262626
"388","Q5JZY3","EPHA10","17",0,1,1.20820280222632,"AF-Q5JZY3-F1-model_v4","Q5JZY3-F1",0.219,0.485,2,79.5507816151649
"389","Q5MY95","ENTPD8","11",0,1,2.44817156010238,"AF-Q5MY95-F1-model_v4","Q5MY95-F1",0.206,0.889,1,94.2167989487516
"390","Q5QNW6","H2BC18","3",0,2,1.79776757855746,"AF-Q5QNW6-F1-model_v4","Q5QNW6-F1",0.422,0.825,2,87.956881390593
"391","Q5QP82","DCAF10","3",2160,2,1.33381579253405,"AF-Q5QP82-F1-model_v4","Q5QP82-F1",0.142,0.603,1,70.9725041147425
"392","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F3-model_v4","Q5SZK8-F3",0.283,0.737,1,83.5596682421378
"393","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F6-model_v4","Q5SZK8-F6",0.327,0.502,1,82.0695478892419
"394","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F7-model_v4","Q5SZK8-F7",0.086,0.649,1,80.4449608735214
"395","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F9-model_v4","Q5SZK8-F9",0.41,0.343,0,83.3257880830904
"396","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F2-model_v4","Q5SZK8-F2",0.061,0.737,1,83.5365311157818
"397","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F1-model_v4","Q5SZK8-F1",0.254,0.685,1,81.8037948812373
"398","Q5SZK8","FREM2","13",0,1,1.78529318838773,"AF-Q5SZK8-F10-model_v4","Q5SZK8-F10",0.132,0.83,1,79.6909345706787
