Gene,Essential CEG
SPBC23E6.10c,Non-essential
SPBC1604.05,Essential
SPBC3D6.03c,Essential
SPCC1620.06c,Essential
SPBP35G2.08c,Non-essential
SPAP7G5.05,Non-essential
SPBC1734.01c,Essential
SPAC6G9.07c,Essential
SPAC144.12,Essential
SPBC1271.02,Essential
SPBC1347.02,Non-essential
SPAC926.05c,Non-essential
SPAC664.05,Essential
SPBC20F10.09,Essential
SPBC21D10.11c,Non-essential
SPAC24C9.10c,Essential
SPAC328.06,Non-essential
SPAC12B10.01c,Non-essential
SPAC1486.03c,Essential
SPCC4G3.06c,Essential
SPAC458.07,Essential
SPBC9B6.06,Essential
SPBC8D2.06,Essential
SPBC14F5.05c,Essential
SPCC895.06,Non-essential
SPAC4F10.14c,Non-essential
SPAC821.05,Non-essential
SPCC126.05c,Essential
SPAC2G11.08c,Essential
SPBC211.03c,Essential
SPCC736.10c,Essential
SPBC1703.02,Essential
SPAC17A5.15c,Essential
SPCC830.11c,Essential
SPAC13G6.14,Non-essential
SPBC1347.04,Essential
SPAC664.01c,Non-essential
SPBC609.01,Essential
SPBC428.18,Essential
SPCC965.05c,Non-essential
SPBC1539.10,Non-essential
SPBC36B7.03,Non-essential
SPAC57A7.13,Non-essential
SPCC330.13,Essential
SPAC6F12.09,Non-essential
SPBC18H10.10c,Non-essential
SPCC18B5.10c,Non-essential
SPAC18G6.05c,Non-essential
SPAC4G8.07c,Non-essential
SPCC1739.05,Non-essential
SPAC890.05,Non-essential
SPCC736.11,Non-essential
SPBC776.13,Essential
SPBC713.10,Essential
SPAPB1A10.03,Non-essential
SPCPB16A4.04c,Non-essential
SPAC664.11,Essential
SPAC683.02c,Non-essential
SPAC13G6.09,Non-essential
SPAC56F8.09,Non-essential
SPAC57A10.12c,Non-essential
SPBC16G5.12c,Essential
SPAC8C9.06c,Non-essential
SPBC36B7.09,Essential
SPBC16H5.05c,Non-essential
SPAC1851.03,Non-essential
SPAC19A8.15,Essential
SPBC725.16,Essential
SPCC16C4.06c,Non-essential
SPAC2F7.09c,Non-essential
SPAC1556.07,Essential
SPCC320.07c,Non-essential
SPCC550.15c,Non-essential
SPBC16E9.17c,Non-essential
SPBC409.05,Essential
SPAC23H4.07c,Essential
SPCC24B10.08c,Non-essential
SPAC19D5.04,Essential
SPBC26H8.07c,Essential
SPBC1105.18c,Non-essential
SPCC1739.13,Non-essential
SPCC757.09c,Non-essential
SPBC1778.04,Non-essential
SPAC25B8.16,Essential
SPCC18.07,Essential
SPBC19C2.02,Non-essential
SPBC16A3.06,Non-essential
SPCC794.09c,Non-essential
SPAC644.15,Non-essential
SPAC17A5.12,Essential
SPAPB18E9.01,Non-essential
SPAC9.07c,Non-essential
SPBC19G7.03c,Non-essential
SPAC144.06,Non-essential
SPBC4F6.18c,Essential
SPBC216.01c,Non-essential
SPBC409.14c,Essential
SPAC17A2.13c,Non-essential
SPAC12G12.08,Essential
SPCC24B10.05,Essential
SPAC139.06,Non-essential
SPBC725.15,Non-essential
SPBC16H5.07c,Non-essential
SPBC530.10c,Non-essential
SPCC1322.16,Non-essential
SPAC959.09c,Essential
SPBC11B10.04c,Essential
SPAC8E11.02c,Non-essential
SPAC6G10.05c,Non-essential
SPAC343.02,Essential
SPBC336.09c,Essential
SPAC17A2.12,Non-essential
SPAC227.16c,Essential
SPBC146.08c,Non-essential
SPBC577.06c,Non-essential
SPBC106.09,Essential
SPBC31F10.14c,Non-essential
SPBC1347.13c,Non-essential
SPAC20G8.03,Essential
SPBC36B7.08c,Non-essential
SPBC30D10.08,Essential
SPAC12B10.03,Non-essential
SPCC1183.05c,Non-essential
SPBC9B6.04c,Essential
SPBC19C7.06,Essential
SPAC17H9.19c,Non-essential
SPAC2F3.06c,Non-essential
SPBC17A3.04c,Essential
SPBC3D6.15,Non-essential
SPBC1703.04,Non-essential
SPBC2D10.14c,Non-essential
SPBC1105.16c,Essential
SPBC354.12,Non-essential
SPCC4B3.09c,Essential
SPAC22A12.15c,Essential
SPBC8D2.09c,Essential
SPAC17A5.01,Non-essential
SPBC336.11,Essential
SPBC19C7.02,Non-essential
SPAC1B3.14,Essential
SPBC25D12.05,Non-essential
SPBC1271.13,Essential
SPAPB1A10.04c,Essential
SPBC21C3.07c,Non-essential
SPAC343.14c,Essential
SPCC550.05,Essential
SPAC23H4.12,Non-essential
SPBC582.03,Essential
SPBC32F12.11,Non-essential
SPAC17G8.13c,Non-essential
SPCC553.03,Non-essential
SPAC23H3.08c,Non-essential
SPCC16C4.14c,Non-essential
SPAC4A8.14,Non-essential
SPAC13C5.05c,Non-essential
SPBC15D4.10c,Non-essential
SPBC16E9.18,Non-essential
SPAC8F11.04,Essential
SPBC29A10.13,Non-essential
SPBC3E7.07c,Non-essential
SPCC777.13,Non-essential
SPBC3F6.03,Non-essential
SPAC15A10.03c,Non-essential
SPBC17A3.08,Non-essential
SPAC13D6.05,Essential
SPAC1751.02c,Essential
SPAC1805.11c,Non-essential
SPAC1834.07,Non-essential
SPBC30D10.07c,Essential
SPBC16C6.10,Non-essential
SPCC1259.10,Non-essential
SPAC10F6.04,Non-essential
SPAC26A3.17c,Non-essential
SPBP23A10.15c,Essential
SPCC1020.11c,Non-essential
SPAC30D11.09,Non-essential
SPAC31G5.16c,Essential
SPBC1709.04c,Non-essential
SPCC1739.14,Non-essential
SPAPB1E7.10,Essential
SPBC16D10.03,Non-essential
SPAC2E1P5.03,Non-essential
SPCC1739.02c,Essential
SPBC29A3.05,Non-essential
SPCC1672.08c,Essential
SPAC3G9.07c,Non-essential
SPBC1711.10c,Essential
SPAC11E3.15,Non-essential
SPBC2D10.08c,Essential
SPBC21B10.03c,Non-essential
SPBC56F2.07c,Essential
SPAC13D6.03c,Non-essential
SPAC4H3.05,Non-essential
SPBC1A4.01,Essential
SPAC343.05,Essential
SPCC16C4.11,Non-essential
SPBC543.02c,Non-essential
SPAC2F3.15,Non-essential
SPBC30D10.12c,Essential
SPAC926.07c,Non-essential
SPCC24B10.10c,Non-essential
SPBC12C2.10c,Essential
SPBC19G7.10c,Non-essential
SPCC16A11.13,Essential
SPAC2F7.03c,Non-essential
SPBC1306.02,Non-essential
SPAC26A3.05,Essential
SPAC1782.09c,Non-essential
SPBC18E5.12c,Essential
SPCC306.04c,Non-essential
SPCC1827.02c,Non-essential
SPCC4G3.05c,Non-essential
SPBC2G2.08,Non-essential
SPAC3G9.08,Non-essential
SPBC16E9.05,Essential
SPBC13E7.04,Non-essential
SPBC16G5.04,Essential
SPAC3A12.14,Essential
SPAC18G6.04c,Non-essential
SPBC4F6.13c,Essential
SPBC1215.02c,Essential
SPAC4A8.05c,Non-essential
SPBC17G9.04c,Essential
SPAC15A10.08,Non-essential
SPCC16C4.03,Non-essential
SPAC1687.15,Non-essential
SPBC21C3.18,Non-essential
SPBC29A10.03c,Non-essential
SPBC365.06,Non-essential
SPBC30B4.08,Non-essential
SPBC14F5.09c,Non-essential
SPBC651.09c,Non-essential
SPBC36.07,Non-essential
SPBC1703.03c,Non-essential
SPBC660.11,Non-essential
SPBC56F2.09c,Non-essential
SPBP23A10.13,Essential
SPAC1F5.02,Essential
SPCC1393.09c,Non-essential
SPCC4B3.02c,Non-essential
SPBC1604.13c,Essential
SPCC320.09,Essential
SPBC28F2.03,Non-essential
SPAC1805.06c,Non-essential
SPBC3F6.05,Non-essential
SPAC2C4.13,Essential
SPBC1347.07,Non-essential
SPAC2F7.13c,Essential
SPAC30D11.13,Essential
SPAC9G1.04,Non-essential
SPAC26H5.06,Essential
SPAC3A12.19,Essential
SPAC1834.02,Essential
SPBC119.02,Essential
SPBC32H8.10,Essential
SPAC17G8.07,Non-essential
SPAC1F5.11c,Essential
SPBC577.09,Essential
SPAC1805.05,Non-essential
SPCC31H12.08c,Non-essential
SPAC17A5.13,Essential
SPAC4G9.03,Essential
SPBC1198.10c,Essential
SPCC777.14,Essential
SPBC8D2.01,Non-essential
SPBC337.06c,Essential
SPCC18B5.07c,Non-essential
SPCC1020.09,Non-essential
SPCC1183.03c,Essential
SPBC19C2.13c,Non-essential
SPBC1734.16c,Essential
SPBC16G5.07c,Non-essential
SPBC354.03,Non-essential
SPAC23A1.08c,Essential
SPAC16A10.06c,Essential
SPAC1805.09c,Non-essential
SPBC365.14c,Non-essential
SPAC19G12.02c,Non-essential
SPAC1687.04,Essential
SPAC6B12.12,Non-essential
SPBC56F2.04,Non-essential
SPBC83.17,Non-essential
SPCC613.09,Essential
SPCC622.08c,Non-essential
SPAC664.10,Non-essential
SPAC26F1.09,Non-essential
SPBC3B9.01,Essential
SPAC1952.02,Non-essential
SPAC9.13c,Non-essential
SPAC4A8.12c,Essential
SPBC14C8.03,Non-essential
SPBC119.17,Essential
SPAC30D11.04c,Non-essential
SPBC1685.03,Essential
SPCC126.15c,Non-essential
SPAC17D4.02,Essential
SPBC839.15c,Non-essential
SPCC126.02c,Non-essential
SPAC17G8.05,Non-essential
SPBC1711.04,Non-essential
SPBC2G2.13c,Non-essential
SPBC3F6.01c,Non-essential
SPBC1718.06,Essential
SPBP16F5.05c,Non-essential
SPBC3H7.07c,Non-essential
SPBC3H7.04,Essential
SPAC23C11.08,Non-essential
SPACUNK4.13c,Non-essential
SPBC902.02c,Non-essential
SPBC2G2.05,Non-essential
SPAC343.04c,Non-essential
SPBC336.01,Non-essential
SPCC338.13,Essential
SPBC887.11,Non-essential
SPBC27B12.07,Non-essential
SPAC323.05c,Non-essential
SPAC26H5.02c,Non-essential
SPCC63.07,Essential
SPCC613.10,Non-essential
SPBC30D10.15,Essential
SPAC227.13c,Non-essential
SPCC4G3.18,Essential
SPAC8F11.03,Non-essential
SPAC20H4.06c,Non-essential
SPAC3A11.14c,Non-essential
SPBC16A3.11,Essential
SPBC13G1.11,Essential
SPAC29B12.05c,Non-essential
SPAC3G9.06,Essential
SPBC1105.09,Non-essential
SPBC36B7.04,Non-essential
SPBC1734.13,Non-essential
SPAC21E11.05c,Non-essential
SPBC14C8.02,Essential
SPBC11C11.11c,Non-essential
SPAC9G1.05,Non-essential
SPCC576.07,Essential
SPAC12B10.07,Non-essential
SPBC1709.11c,Non-essential
SPBC18H10.16,Non-essential
SPBC1778.07,Non-essential
SPAC4G9.13c,Non-essential
SPAC19G12.06c,Non-essential
SPBC15D4.04,Essential
SPAC30D11.07,Non-essential
SPCC4E9.02,Non-essential
SPBC947.11c,Non-essential
SPAC222.14c,Non-essential
SPAC1610.01,Non-essential
SPAC31G5.05c,Essential
SPAC1F5.04c,Essential
SPBC16A3.05c,Essential
SPBPB2B2.13,Non-essential
SPAC26A3.03c,Essential
SPAC1B3.02c,Non-essential
SPBC3D6.10,Non-essential
SPAC29A4.03c,Essential
SPAC16C9.07,Non-essential
SPAC56F8.04c,Non-essential
SPCC1840.06,Non-essential
SPBC9B6.11c,Non-essential
SPAC3A12.05c,Essential
SPBC29A10.15,Essential
SPBC26H8.05c,Non-essential
SPCC18.08,Essential
SPBC839.17c,Non-essential
SPAC19G12.14,Essential
SPCC1183.06,Non-essential
SPAC4A8.09c,Non-essential
SPAC11G7.04,Non-essential
SPAC821.11,Non-essential
SPAC1D4.09c,Non-essential
SPBC29A3.18,Non-essential
SPAC17G6.05c,Non-essential
SPAC16E8.13,Non-essential
SPBC83.09c,Non-essential
SPAC1834.11c,Essential
SPCC14G10.03c,Non-essential
SPAPB17E12.10c,Essential
SPAC1002.09c,Essential
SPBC36.06c,Non-essential
SPAC30C2.04,Non-essential
SPAC1006.02,Essential
SPBC16G5.10,Essential
SPBC3B9.18c,Essential
SPCC31H12.07,Essential
SPBC30D10.18c,Non-essential
SPBC4F6.15c,Non-essential
SPBC1685.15c,Non-essential
SPBC557.03c,Essential
SPBC418.01c,Non-essential
SPBC3D6.09,Non-essential
SPBC1271.15c,Non-essential
SPAC27E2.06c,Essential
SPAC31G5.08,Essential
SPAC4F8.06,Essential
SPAC1142.01,Non-essential
SPCC645.13,Non-essential
SPCC16C4.01,Non-essential
SPAC1296.05c,Non-essential
SPAC23G3.08c,Non-essential
SPAC167.02,Essential
SPAC4A8.11c,Essential
SPAC4G8.06c,Non-essential
SPAC18B11.02c,Non-essential
SPBC609.02,Non-essential
SPBC29A3.14c,Non-essential
SPCC1827.01c,Essential
SPCC1223.08c,Essential
SPAC637.05c,Essential
SPAC17A2.09c,Non-essential
SPBC336.07,Essential
SPBC2F12.08c,Essential
SPBC1539.08,Non-essential
SPAC343.11c,Non-essential
SPCC330.01c,Non-essential
SPCC364.04c,Non-essential
SPCC553.04,Non-essential
SPAC26A3.02,Non-essential
SPAPB2B4.03,Non-essential
SPCC31H12.03c,Non-essential
SPBC32F12.06,Essential
SPAPB17E12.07c,Essential
SPAC30.01c,Non-essential
SPAC343.18,Non-essential
SPAC22H10.05c,Essential
SPAC56F8.02,Non-essential
SPCC1795.05c,Essential
SPCC962.06c,Essential
SPBC577.04,Non-essential
SPCC970.10c,Non-essential
SPBC543.09,Non-essential
SPAPB8E5.02c,Non-essential
SPAC23A1.03,Non-essential
SPCC126.14,Essential
SPCC553.07c,Non-essential
SPAC688.10,Non-essential
SPAPYUG7.04c,Non-essential
SPBC16A3.04,Essential
SPBC2F12.13,Non-essential
SPCC18.06c,Non-essential
SPAPYUG7.05,Essential
SPCC297.04c,Non-essential
SPBC336.12c,Essential
SPCC5E4.04,Essential
SPAC11E3.07,Essential
SPAC6F6.10c,Essential
SPCC736.14,Non-essential
SPAC29A4.15,Essential
SPCC132.02,Non-essential
SPBC25H2.10c,Non-essential
SPAC1071.08,Non-essential
SPCC736.09c,Non-essential
SPBC16A3.09c,Essential
SPAC23H4.04,Essential
SPBC646.05c,Essential
SPCC330.11,Non-essential
SPBC21C3.05,Essential
SPBC530.14c,Non-essential
SPAC13G6.01c,Non-essential
SPAC27E2.03c,Non-essential
SPAC31A2.08,Essential
SPBC31E1.05,Essential
SPAC6F12.05c,Essential
SPBC31F10.09c,Non-essential
SPBC15C4.03,Essential
SPCC576.13,Non-essential
SPAC1786.03,Essential
SPCC4B3.18,Essential
SPAC607.03c,Essential
SPAC29A4.06c,Essential
SPBP18G5.02,Essential
SPCC663.01c,Non-essential
SPCP1E11.09c,Non-essential
SPCC645.07,Non-essential
SPBC19C2.12,Essential
SPCC830.10,Non-essential
SPCC794.07,Non-essential
SPCC24B10.12,Non-essential
SPCC188.04c,Essential
SPBC1709.17,Essential
SPBC18H10.15,Non-essential
SPBC14C8.07c,Essential
SPBC19G7.16,Non-essential
SPBC119.18,Essential
SPBC25D12.06,Non-essential
SPAC17H9.17c,Essential
SPBC2F12.07c,Non-essential
SPBC337.15c,Non-essential
SPCC1259.09c,Non-essential
SPBC2A9.06c,Non-essential
SPBC106.12c,Non-essential
SPAC22H10.04,Non-essential
SPBC13G1.04c,Non-essential
SPCP25A2.03,Essential
SPCC1672.11c,Non-essential
SPAC1F12.02c,Non-essential
SPBC947.01,Non-essential
SPAC1805.01c,Non-essential
SPBC418.02,Non-essential
SPAC17G8.06c,Non-essential
SPBC947.02,Non-essential
SPBC13G1.03c,Non-essential
SPAC27D7.13c,Non-essential
SPCC10H11.02,Essential
SPAC3A12.16c,Essential
SPAC806.06c,Essential
SPBC409.10,Non-essential
SPBP8B7.08c,Non-essential
SPAC6G9.03c,Non-essential
SPAC23H3.07c,Essential
SPBC713.05,Non-essential
SPBC1685.09,Non-essential
SPAC3G6.04,Non-essential
SPCC1682.12c,Non-essential
SPCC16C4.07,Non-essential
SPAC688.11,Essential
SPBC3B8.01c,Essential
SPAC17G6.09,Essential
SPAC31G5.09c,Non-essential
SPCC4G3.10c,Non-essential
SPBC16D10.02,Non-essential
SPBC21B10.05c,Non-essential
SPCP31B10.03c,Non-essential
SPAC5D6.13,Non-essential
SPBC83.06c,Essential
SPBC15D4.06,Non-essential
SPAC13G7.01c,Essential
SPCC1183.01,Essential
SPBC146.06c,Non-essential
SPAC12B10.15c,Non-essential
SPAC56F8.11,Essential
SPAC6B12.09,Non-essential
SPCC550.02c,Essential
SPAC5H10.09c,Non-essential
SPBC2G5.05,Essential
SPCC1753.05,Non-essential
SPAC222.05c,Non-essential
SPAC343.01c,Essential
SPBC691.03c,Non-essential
SPAC222.11,Essential
SPAC20G4.06c,Essential
SPCC306.08c,Non-essential
SPAC1142.07c,Non-essential
SPBC1921.02,Essential
SPAC22A12.09c,Essential
SPAC1002.04c,Essential
SPBC146.09c,Non-essential
SPCC320.13c,Essential
SPAC22A12.03c,Non-essential
SPBC3B8.02,Non-essential
SPBC15D4.01c,Non-essential
SPBC56F2.12,Non-essential
SPBC15C4.01c,Non-essential
SPAC2F7.06c,Non-essential
SPAC23C11.05,Essential
SPCC18.09c,Non-essential
SPAC18G6.15,Non-essential
SPBC337.03,Non-essential
SPBC1289.11,Non-essential
SPAC27F1.02c,Essential
SPCC4G3.02,Non-essential
SPAC630.03,Essential
SPAC328.02,Non-essential
SPAC57A10.05c,Essential
SPAC3C7.07c,Non-essential
SPCC11E10.07c,Non-essential
SPAC1A6.01c,Non-essential
SPBC19F8.08,Non-essential
SPAC5D6.05,Non-essential
SPAC16C9.02c,Non-essential
SPBC16D10.08c,Non-essential
SPAC18G6.11c,Essential
SPBC3H7.11,Non-essential
SPCC14G10.01,Essential
SPAC12G12.01c,Non-essential
SPBC1347.05c,Essential
SPBC24C6.11,Non-essential
SPAC167.01,Non-essential
SPBC1778.06c,Non-essential
SPAC13A11.01c,Non-essential
SPAP27G11.04c,Essential
SPAC1296.01c,Non-essential
SPAC10F6.17c,Non-essential
SPBC17D1.03c,Essential
SPBPJ4664.04,Essential
SPAC19D5.03,Non-essential
SPBC146.13c,Non-essential
SPAC637.08,Essential
SPBC17A3.05c,Non-essential
SPCC4G3.17,Non-essential
SPCC622.16c,Non-essential
SPBC30B4.05,Essential
SPAC6G10.02c,Non-essential
SPBP35G2.12,Non-essential
SPAC26F1.06,Essential
SPAPB1E7.07,Non-essential
SPAC9E9.06c,Essential
SPCC4E9.01c,Non-essential
SPAC1071.09c,Non-essential
SPAC1F3.09,Non-essential
SPCC663.04,Non-essential
SPBC26H8.06,Essential
SPBC15D4.09c,Non-essential
SPAC1296.02,Non-essential
SPBP16F5.06,Essential
SPAC890.04c,Essential
SPBC1718.02,Non-essential
SPAC13A11.05,Non-essential
SPAC22H10.03c,Non-essential
SPAC1093.01,Non-essential
SPBC2F12.02c,Essential
SPBC2F12.10,Essential
SPAP27G11.07c,Essential
SPBC17A3.07,Essential
SPBC725.13c,Essential
SPAC1250.03,Non-essential
SPCC1672.01,Essential
SPBC1734.14c,Essential
SPCC320.12,Non-essential
SPAC2F7.15,Essential
SPBC106.15,Essential
SPAC22A12.08c,Essential
SPAC3H8.03,Non-essential
SPCC736.03c,Essential
SPAC18G6.03,Essential
SPBC16C6.13c,Essential
SPCC320.10,Essential
SPCC74.01,Essential
SPAC4F10.11,Non-essential
SPAC1B3.10c,Non-essential
SPCP1E11.10,Non-essential
SPAC11E3.02c,Essential
SPBC1921.07c,Non-essential
SPBC13G1.14c,Non-essential
SPBC2G2.02,Non-essential
SPBC14C8.10,Essential
SPBC17G9.05,Non-essential
SPBC13A2.03,Essential
SPBC887.14c,Essential
SPBC19G7.07c,Non-essential
SPBC21B10.10,Non-essential
SPBC8D2.15,Essential
SPBC1703.06,Non-essential
SPBP4H10.05c,Non-essential
SPBC649.02,Non-essential
SPAC3H8.09c,Non-essential
SPBC16A3.01,Non-essential
SPBP8B7.25,Non-essential
SPBC3E7.10,Non-essential
SPBC1709.09,Non-essential
SPCC830.08c,Non-essential
SPBC23E6.06c,Essential
SPBC23G7.15c,Non-essential
SPAC19A8.14,Non-essential
SPBC365.02c,Non-essential
SPAC732.01,Essential
SPAC17H9.09c,Non-essential
SPBC29A10.07,Non-essential
SPBC409.04c,Essential
SPAC688.13,Non-essential
SPAC31A2.15c,Non-essential
SPBC336.10c,Non-essential
SPAC17A5.11,Non-essential
SPBC8E4.05c,Non-essential
SPCC970.09,Essential
SPBC4F6.10,Non-essential
SPAC17H9.14c,Non-essential
SPBC13G1.12,Non-essential
SPAC323.08,Essential
SPAC24B11.13,Non-essential
SPBC4F6.08c,Non-essential
SPAC167.04,Non-essential
SPCC11E10.08,Non-essential
SPBC19F8.04c,Non-essential
SPAC806.07,Non-essential
SPAC732.02c,Non-essential
SPBC19G7.09,Non-essential
SPAPB1A10.11c,Essential
SPAC2H10.02c,Non-essential
SPAC15A10.05c,Non-essential
SPBC947.13,Non-essential
SPAC458.05,Non-essential
SPBC16E9.02c,Non-essential
SPAC824.05,Non-essential
SPAC222.07c,Non-essential
SPBC1A4.02c,Non-essential
SPAC16A10.05c,Non-essential
SPBC16G5.15c,Non-essential
SPCC1223.01,Non-essential
SPBP8B7.01c,Essential
SPAC17C9.11c,Non-essential
SPBC1718.01,Non-essential
SPCC63.06,Non-essential
SPAC22F3.05c,Essential
SPBC2D10.07c,Non-essential
SPAC24B11.06c,Non-essential
SPBC19G7.13,Essential
SPBC1718.05,Essential
SPBC1778.08c,Essential
SPBC18E5.11c,Non-essential
SPBC16D10.07c,Non-essential
SPBC800.07c,Non-essential
SPAC31G5.12c,Non-essential
SPCC1827.06c,Essential
SPCC4G3.15c,Non-essential
SPBC839.11c,Non-essential
SPBC11C11.01,Non-essential
SPAC144.16,Essential
SPCC18.03,Non-essential
SPAC1952.05,Non-essential
SPAC824.04,Non-essential
SPBC12D12.09,Non-essential
SPBC3B8.10c,Non-essential
SPAC1B3.06c,Non-essential
SPAC27D7.07c,Essential
SPAC6F6.08c,Essential
SPBC14C8.17c,Non-essential
SPAC24H6.02c,Non-essential
SPAC16.04,Non-essential
SPAC8C9.05,Non-essential
SPBC365.09c,Essential
SPBCPT2R1.08c,Non-essential
SPCC417.07c,Non-essential
SPBC3B9.09,Non-essential
SPBC16C6.08c,Non-essential
SPAC6F12.13c,Essential
SPBC4F6.17c,Essential
SPBC8D2.05c,Essential
SPBC405.06,Non-essential
SPCC18.16c,Essential
SPBC29A10.14,Non-essential
SPAC14C4.05c,Non-essential
SPAP8A3.05,Non-essential
SPBP22H7.09c,Essential
SPAC1783.04c,Non-essential
SPBP35G2.06c,Non-essential
SPAC9.12c,Non-essential
SPCC126.13c,Non-essential
SPBC21C3.01c,Non-essential
SPAP27G11.06c,Non-essential
SPCC825.04c,Non-essential
SPAPB21F2.02,Non-essential
SPAC105.02c,Non-essential
SPBC25H2.04c,Essential
SPAC18G6.02c,Non-essential
SPCC338.08,Non-essential
SPAC20H4.05c,Non-essential
SPBC29A10.16c,Non-essential
SPCC162.11c,Non-essential
SPAC30C2.08,Non-essential
SPBC2D10.16,Non-essential
SPCC1672.04c,Non-essential
SPAC13A11.03,Non-essential
SPBC17A3.06,Non-essential
SPBC28F2.08c,Non-essential
SPAC3A12.11c,Essential
SPCC330.02,Non-essential
SPBC1A4.05,Non-essential
SPAC29E6.03c,Essential
SPAC2G11.07c,Non-essential
SPBC23E6.02,Non-essential
SPCC1840.01c,Essential
SPAC6F12.08c,Essential
SPBC6B1.08c,Non-essential
SPAC1002.10c,Essential
SPBC3B9.02c,Essential
SPBC800.13,Essential
SPBC1604.07,Non-essential
SPAC140.04,Non-essential
SPBC20F10.04c,Essential
SPAC4A8.15c,Essential
SPCC18B5.03,Non-essential
SPBC1D7.01,Non-essential
SPBC1347.08c,Non-essential
SPCC970.06,Non-essential
SPAC959.02,Essential
SPAP27G11.09c,Essential
SPBC29A10.12,Non-essential
SPAC17C9.09c,Non-essential
SPCC1223.14,Essential
SPBC3E7.01,Non-essential
SPAC7D4.10,Essential
SPAC6G9.05,Non-essential
SPAC1556.02c,Non-essential
SPAC1782.01,Non-essential
SPBC8D2.12c,Non-essential
SPCC126.04c,Non-essential
SPCC1259.11c,Non-essential
SPBC1718.03,Non-essential
SPBP8B7.10c,Non-essential
SPCC16A11.03c,Non-essential
SPBC16E9.11c,Non-essential
SPAC11E3.06,Non-essential
SPAC15A10.01,Essential
SPCC61.02,Non-essential
SPAC959.07,Non-essential
SPBC21H7.02,Essential
SPAC23H4.14,Non-essential
SPCC338.10c,Non-essential
SPAC9G1.11c,Non-essential
SPBC3E7.13c,Essential
SPCC24B10.11c,Non-essential
SPBC428.08c,Non-essential
SPAC25B8.03,Non-essential
SPBC31F10.02,Non-essential
SPAC17A2.06c,Non-essential
SPBC29A10.01,Non-essential
SPCC1281.06c,Essential
SPAC1F3.10c,Non-essential
SPCC970.08,Essential
SPAC23C11.03,Essential
SPCC162.01c,Non-essential
SPAC869.10c,Non-essential
SPBC337.10c,Non-essential
SPCC1259.06,Essential
SPAC2F3.12c,Non-essential
SPBC4C3.03,Essential
SPCC364.07,Non-essential
SPBC28F2.10c,Non-essential
SPBC2F12.12c,Non-essential
SPAC11G7.05c,Non-essential
SPAC1486.08,Non-essential
SPAC1142.08,Non-essential
SPAC110.03,Essential
SPAC2F3.17c,Essential
SPAC144.14,Non-essential
SPBPB2B2.12c,Non-essential
SPBC2A9.11c,Non-essential
SPAC19D5.06c,Non-essential
SPBC27.06c,Non-essential
SPAC4F8.01,Non-essential
SPCC1442.08c,Non-essential
SPCC1442.12,Essential
SPAC16E8.07c,Essential
SPAPJ691.03,Non-essential
SPBC1604.02c,Non-essential
SPAC1B3.03c,Non-essential
SPBC18E5.02c,Essential
SPBC21C3.04c,Essential
SPAC7D4.05,Non-essential
SPCC1450.10c,Essential
SPCC830.05c,Essential
SPCC338.05c,Non-essential
SPCC1020.12c,Non-essential
SPCC777.17c,Non-essential
SPAC1B2.04,Non-essential
SPAC23H4.06,Essential
SPCC126.12,Non-essential
SPBC215.05,Non-essential
SPAC8C9.10c,Non-essential
SPAC1687.20c,Essential
SPAC13F5.06c,Essential
SPAC57A7.08,Non-essential
SPAC2E1P5.01c,Non-essential
SPBC8D2.03c,Non-essential
SPBC336.15,Essential
SPAC56F8.08,Non-essential
SPAC23E2.02,Essential
SPAC20G4.01,Non-essential
SPBC11B10.03,Essential
SPAC23C4.02,Non-essential
SPCC61.03,Non-essential
SPBC1347.06c,Non-essential
SPBC12C2.07c,Non-essential
SPAC24B11.08c,Non-essential
SPAC630.10,Non-essential
SPBC16G5.18,Essential
SPBC119.06,Non-essential
SPCC1450.13c,Essential
SPBC1A4.10c,Essential
SPCC622.13c,Essential
SPAC1F7.04,Essential
SPAPB17E12.04c,Non-essential
SPBC839.07,Non-essential
SPBC9B6.10,Essential
SPCC16A11.16c,Non-essential
SPBC660.16,Essential
SPBC1105.01,Non-essential
SPBC31F10.04c,Essential
SPCC4B3.08,Non-essential
SPBC342.04,Non-essential
SPCC162.09c,Essential
SPCC1281.03c,Non-essential
SPAC2G11.06,Non-essential
SPBC336.13c,Non-essential
SPAC2G11.12,Non-essential
SPBC24C6.03,Essential
SPBC13G1.08c,Non-essential
SPCC2H8.05c,Non-essential
SPBC13E7.11,Non-essential
SPCC1840.05c,Non-essential
SPBC14F5.07,Non-essential
SPBC1773.01,Non-essential
SPAC1952.01,Essential
SPBC582.08,Non-essential
SPBC1734.05c,Non-essential
SPAC2G11.03c,Non-essential
SPBC409.19c,Non-essential
SPBC8D2.04,Non-essential
SPCC1020.06c,Non-essential
SPAC1A6.05c,Non-essential
SPBC29A10.05,Non-essential
SPAC3G6.03c,Non-essential
SPCC1620.08,Non-essential
SPAC3F10.04,Non-essential
SPBC1815.01,Non-essential
SPAC2G11.14,Essential
SPBC11B10.02c,Non-essential
SPBC19F5.04,Essential
SPAC24C9.03,Essential
SPBP4H10.04,Non-essential
SPBC8D2.13,Essential
SPAC31G5.15,Non-essential
SPBC4C3.12,Non-essential
SPAC57A10.03,Non-essential
SPAC3G9.13c,Essential
SPBC11G11.05,Non-essential
SPAC17G8.04c,Essential
SPBC21C3.02c,Non-essential
SPCC1494.07,Non-essential
SPAC22F8.08,Essential
