Gene,Essential CEG,Essential OEG
ENSMUSG00000041671,Essential,Essential
ENSMUSG00000028212,Non-essential,NA
ENSMUSG00000021540,Non-essential,Essential
ENSMUSG00000036867,Non-essential,NA
ENSMUSG00000020932,NA,Non-essential
ENSMUSG00000006740,Non-essential,Essential
ENSMUSG00000039765,Essential,NA
ENSMUSG00000042410,Non-essential,NA
ENSMUSG00000020630,NA,Essential
ENSMUSG00000027170,Essential,NA
ENSMUSG00000003849,Essential,Non-essential
ENSMUSG00000022663,Non-essential,Essential
ENSMUSG00000039852,Non-essential,NA
ENSMUSG00000019188,Non-essential,Essential
ENSMUSG00000019971,Non-essential,NA
ENSMUSG00000023092,Non-essential,Non-essential
ENSMUSG00000053580,Non-essential,NA
ENSMUSG00000028758,Essential,Non-essential
ENSMUSG00000030249,Non-essential,NA
ENSMUSG00000025950,Non-essential,Non-essential
ENSMUSG00000031557,Non-essential,Non-essential
ENSMUSG00000025854,Non-essential,NA
ENSMUSG00000056155,Non-essential,NA
ENSMUSG00000015714,Non-essential,Non-essential
ENSMUSG00000025224,Essential,Essential
ENSMUSG00000039202,Non-essential,Non-essential
ENSMUSG00000024985,Non-essential,Essential
ENSMUSG00000028882,Non-essential,Essential
ENSMUSG00000025132,Non-essential,NA
ENSMUSG00000022136,Non-essential,NA
ENSMUSG00000021957,Non-essential,Essential
ENSMUSG00000026565,Non-essential,Essential
ENSMUSG00000009471,Non-essential,Non-essential
ENSMUSG00000020087,Non-essential,NA
ENSMUSG00000003308,Non-essential,NA
ENSMUSG00000041777,Non-essential,Essential
ENSMUSG00000020020,Essential,Non-essential
ENSMUSG00000032598,Non-essential,Non-essential
ENSMUSG00000023988,Essential,Essential
ENSMUSG00000030866,Non-essential,Non-essential
ENSMUSG00000041718,Non-essential,NA
ENSMUSG00000035941,Non-essential,Non-essential
ENSMUSG00000006476,Non-essential,Non-essential
ENSMUSG00000070495,Non-essential,Non-essential
ENSMUSG00000037434,Non-essential,NA
ENSMUSG00000053799,Essential,NA
ENSMUSG00000075324,Non-essential,NA
ENSMUSG00000032221,Essential,NA
ENSMUSG00000029547,NA,Essential
ENSMUSG00000028453,Essential,NA
ENSMUSG00000028957,Essential,Non-essential
ENSMUSG00000026398,Non-essential,Essential
ENSMUSG00000062202,Non-essential,Non-essential
ENSMUSG00000028405,Non-essential,NA
ENSMUSG00000024068,Non-essential,NA
ENSMUSG00000034342,Non-essential,NA
ENSMUSG00000054792,Non-essential,Non-essential
ENSMUSG00000003779,Non-essential,Essential
ENSMUSG00000000325,Non-essential,Non-essential
ENSMUSG00000029004,Non-essential,NA
ENSMUSG00000056076,NA,NA
ENSMUSG00000020679,Non-essential,Essential
ENSMUSG00000021932,Non-essential,Essential
ENSMUSG00000038372,Non-essential,Non-essential
ENSMUSG00000003283,Non-essential,Non-essential
ENSMUSG00000009248,Non-essential,NA
ENSMUSG00000020368,Non-essential,NA
ENSMUSG00000019826,Non-essential,Essential
ENSMUSG00000021365,Non-essential,Non-essential
ENSMUSG00000022307,Non-essential,Non-essential
ENSMUSG00000026463,Non-essential,NA
ENSMUSG00000027893,Non-essential,Non-essential
ENSMUSG00000040112,NA,Non-essential
ENSMUSG00000038042,Non-essential,Non-essential
ENSMUSG00000001819,Non-essential,NA
ENSMUSG00000032480,Essential,Essential
ENSMUSG00000054874,Non-essential,Non-essential
ENSMUSG00000040521,Essential,Essential
ENSMUSG00000079477,Non-essential,Non-essential
ENSMUSG00000028572,Non-essential,Non-essential
ENSMUSG00000027351,Essential,Non-essential
ENSMUSG00000036792,Non-essential,Essential
ENSMUSG00000039703,Essential,Essential
ENSMUSG00000038943,Essential,Essential
ENSMUSG00000026669,Essential,Essential
ENSMUSG00000019699,Non-essential,Non-essential
ENSMUSG00000035311,Non-essential,NA
ENSMUSG00000022021,Non-essential,Essential
ENSMUSG00000109324,Essential,Essential
ENSMUSG00000035273,Non-essential,Non-essential
ENSMUSG00000041309,Non-essential,Non-essential
ENSMUSG00000026473,Non-essential,NA
ENSMUSG00000033644,Non-essential,NA
ENSMUSG00000035086,Non-essential,Essential
ENSMUSG00000054814,Non-essential,Non-essential
ENSMUSG00000021733,Non-essential,NA
ENSMUSG00000026309,Non-essential,Non-essential
ENSMUSG00000045382,Non-essential,NA
ENSMUSG00000029524,Non-essential,Non-essential
ENSMUSG00000029204,Non-essential,Non-essential
ENSMUSG00000024889,Non-essential,Essential
ENSMUSG00000020866,Non-essential,Non-essential
ENSMUSG00000029844,Non-essential,Essential
ENSMUSG00000025139,Non-essential,Non-essential
ENSMUSG00000032096,Essential,Non-essential
ENSMUSG00000015790,Non-essential,NA
ENSMUSG00000028793,Non-essential,Non-essential
ENSMUSG00000025997,Essential,NA
ENSMUSG00000043079,Non-essential,Non-essential
ENSMUSG00000026566,Non-essential,Non-essential
ENSMUSG00000035910,Non-essential,Non-essential
ENSMUSG00000058729,Non-essential,Essential
ENSMUSG00000022108,Non-essential,Non-essential
ENSMUSG00000032580,Non-essential,NA
ENSMUSG00000047879,Essential,Essential
ENSMUSG00000007877,Non-essential,Non-essential
ENSMUSG00000034462,Non-essential,Essential
ENSMUSG00000031540,Essential,Essential
ENSMUSG00000057561,Non-essential,NA
ENSMUSG00000028273,Non-essential,Non-essential
ENSMUSG00000001403,Essential,Essential
ENSMUSG00000027457,Non-essential,NA
ENSMUSG00000030291,Essential,Essential
ENSMUSG00000040667,Essential,Non-essential
ENSMUSG00000033352,Non-essential,Essential
ENSMUSG00000031918,Non-essential,NA
ENSMUSG00000020801,Essential,NA
ENSMUSG00000006574,Non-essential,NA
ENSMUSG00000000194,Essential,Essential
ENSMUSG00000053617,Non-essential,Essential
ENSMUSG00000026510,Non-essential,Essential
ENSMUSG00000020439,Non-essential,NA
ENSMUSG00000042724,Non-essential,Non-essential
ENSMUSG00000025878,Non-essential,NA
ENSMUSG00000049115,Non-essential,Non-essential
ENSMUSG00000038954,Non-essential,Essential
ENSMUSG00000024359,Essential,NA
ENSMUSG00000028479,Non-essential,Essential
ENSMUSG00000027374,Non-essential,Essential
ENSMUSG00000057003,Essential,Non-essential
ENSMUSG00000030002,Non-essential,Non-essential
ENSMUSG00000039904,Non-essential,Non-essential
ENSMUSG00000033623,Non-essential,Non-essential
ENSMUSG00000001911,Non-essential,NA
ENSMUSG00000021606,Non-essential,NA
ENSMUSG00000003545,Non-essential,Non-essential
ENSMUSG00000038121,Essential,Essential
ENSMUSG00000055027,Non-essential,Essential
ENSMUSG00000028800,Essential,Essential
ENSMUSG00000024899,Non-essential,NA
ENSMUSG00000060121,Essential,NA
ENSMUSG00000020134,Non-essential,NA
ENSMUSG00000063801,Non-essential,Non-essential
ENSMUSG00000062300,Non-essential,NA
ENSMUSG00000037373,Non-essential,NA
ENSMUSG00000068184,Non-essential,Non-essential
ENSMUSG00000044786,Non-essential,NA
ENSMUSG00000033075,Non-essential,Essential
ENSMUSG00000017421,Essential,Essential
ENSMUSG00000027115,Non-essential,NA
ENSMUSG00000014074,Non-essential,Non-essential
ENSMUSG00000027288,Non-essential,Non-essential
ENSMUSG00000067860,Essential,NA
ENSMUSG00000026585,Non-essential,Essential
ENSMUSG00000025199,Non-essential,Essential
ENSMUSG00000038508,Non-essential,Non-essential
ENSMUSG00000043895,Non-essential,NA
ENSMUSG00000061132,Non-essential,Non-essential
ENSMUSG00000001098,Non-essential,NA
ENSMUSG00000030034,Non-essential,Essential
ENSMUSG00000000538,Non-essential,Non-essential
ENSMUSG00000027985,Non-essential,Essential
ENSMUSG00000055322,Non-essential,Non-essential
ENSMUSG00000020422,Non-essential,NA
ENSMUSG00000053153,Non-essential,NA
ENSMUSG00000026655,Non-essential,Non-essential
ENSMUSG00000036333,Non-essential,Essential
ENSMUSG00000056209,Non-essential,Non-essential
ENSMUSG00000042272,Non-essential,NA
ENSMUSG00000037579,Non-essential,Non-essential
ENSMUSG00000004661,Non-essential,Essential
ENSMUSG00000030401,NA,Non-essential
ENSMUSG00000019214,Non-essential,Essential
ENSMUSG00000013822,Non-essential,Essential
ENSMUSG00000033004,Non-essential,Essential
ENSMUSG00000041417,Non-essential,Essential
ENSMUSG00000012396,Essential,NA
ENSMUSG00000021036,NA,Essential
ENSMUSG00000040952,Essential,Essential
ENSMUSG00000014226,Essential,Non-essential
ENSMUSG00000020362,Non-essential,NA
ENSMUSG00000020085,Non-essential,Non-essential
ENSMUSG00000060985,Non-essential,NA
ENSMUSG00000015839,Non-essential,NA
ENSMUSG00000025172,Non-essential,Non-essential
ENSMUSG00000079550,Non-essential,Non-essential
ENSMUSG00000031015,Non-essential,Non-essential
ENSMUSG00000038692,Non-essential,Essential
ENSMUSG00000028191,Non-essential,NA
ENSMUSG00000031290,Non-essential,Non-essential
ENSMUSG00000020652,Essential,Essential
ENSMUSG00000060733,Non-essential,Essential
ENSMUSG00000059474,Non-essential,Essential
ENSMUSG00000000730,Non-essential,NA
ENSMUSG00000033760,Non-essential,Non-essential
ENSMUSG00000037171,Non-essential,Essential
ENSMUSG00000040936,Non-essential,NA
ENSMUSG00000022013,NA,Non-essential
ENSMUSG00000031503,Non-essential,Essential
ENSMUSG00000022339,Non-essential,Non-essential
ENSMUSG00000026792,Non-essential,Non-essential
ENSMUSG00000017007,Non-essential,Non-essential
ENSMUSG00000024826,Non-essential,NA
ENSMUSG00000034206,Non-essential,Non-essential
ENSMUSG00000028016,Non-essential,Essential
ENSMUSG00000045594,Non-essential,NA
ENSMUSG00000029217,Non-essential,Non-essential
ENSMUSG00000061462,Essential,Non-essential
ENSMUSG00000035621,Non-essential,Non-essential
ENSMUSG00000020312,Non-essential,Non-essential
ENSMUSG00000067276,Non-essential,Non-essential
ENSMUSG00000024477,Non-essential,Non-essential
ENSMUSG00000058076,Non-essential,Essential
ENSMUSG00000039713,Non-essential,Non-essential
ENSMUSG00000042002,Non-essential,NA
ENSMUSG00000027452,Non-essential,NA
ENSMUSG00000024130,Non-essential,Essential
ENSMUSG00000037369,Non-essential,Essential
ENSMUSG00000000142,Non-essential,Essential
ENSMUSG00000020393,Non-essential,Non-essential
ENSMUSG00000031360,Non-essential,Non-essential
ENSMUSG00000019969,Non-essential,Essential
ENSMUSG00000008496,Non-essential,Essential
ENSMUSG00000054342,Non-essential,Non-essential
ENSMUSG00000005493,Non-essential,NA
ENSMUSG00000029319,Non-essential,Essential
ENSMUSG00000031502,Non-essential,NA
ENSMUSG00000022061,NA,Non-essential
ENSMUSG00000000381,NA,Non-essential
ENSMUSG00000040841,Non-essential,NA
ENSMUSG00000010080,Non-essential,Non-essential
ENSMUSG00000024790,Non-essential,Non-essential
ENSMUSG00000018585,Non-essential,NA
ENSMUSG00000022721,Non-essential,Non-essential
ENSMUSG00000003378,Non-essential,Non-essential
ENSMUSG00000024912,Non-essential,NA
ENSMUSG00000001444,Non-essential,Non-essential
ENSMUSG00000038545,NA,Essential
ENSMUSG00000037514,Non-essential,NA
ENSMUSG00000031273,Non-essential,Non-essential
ENSMUSG00000051495,Non-essential,NA
ENSMUSG00000070871,Non-essential,NA
ENSMUSG00000041977,Non-essential,Non-essential
ENSMUSG00000031233,Non-essential,NA
ENSMUSG00000032527,Non-essential,Essential
ENSMUSG00000024122,Non-essential,Essential
ENSMUSG00000036295,Non-essential,Non-essential
ENSMUSG00000038593,Non-essential,Essential
ENSMUSG00000000247,Non-essential,Essential
ENSMUSG00000024978,Non-essential,Non-essential
ENSMUSG00000024793,Non-essential,Non-essential
ENSMUSG00000001285,Non-essential,Non-essential
ENSMUSG00000066036,NA,Essential
ENSMUSG00000020003,Non-essential,NA
ENSMUSG00000037601,Non-essential,NA
ENSMUSG00000005057,Non-essential,Non-essential
ENSMUSG00000059811,Non-essential,Essential
ENSMUSG00000026603,NA,Non-essential
ENSMUSG00000022957,Non-essential,NA
ENSMUSG00000021559,NA,Non-essential
ENSMUSG00000022221,Non-essential,NA
ENSMUSG00000026511,Essential,Essential
ENSMUSG00000020402,Essential,NA
ENSMUSG00000089824,Non-essential,Non-essential
ENSMUSG00000032051,Non-essential,Essential
ENSMUSG00000028988,Non-essential,Essential
ENSMUSG00000031878,Non-essential,Essential
ENSMUSG00000079037,Non-essential,NA
ENSMUSG00000006494,Non-essential,Non-essential
ENSMUSG00000022504,Non-essential,Non-essential
ENSMUSG00000026443,Non-essential,Non-essential
ENSMUSG00000054003,Non-essential,NA
ENSMUSG00000020140,Non-essential,Essential
ENSMUSG00000039615,Non-essential,NA
ENSMUSG00000032463,Non-essential,Non-essential
ENSMUSG00000030268,Non-essential,Non-essential
ENSMUSG00000057147,Essential,Non-essential
ENSMUSG00000062248,Essential,NA
ENSMUSG00000032855,Non-essential,Essential
ENSMUSG00000024431,Non-essential,Essential
ENSMUSG00000039041,Non-essential,NA
ENSMUSG00000079109,NA,NA
ENSMUSG00000037202,Non-essential,NA
ENSMUSG00000038210,Non-essential,Essential
ENSMUSG00000028980,Non-essential,Non-essential
ENSMUSG00000006403,Non-essential,Non-essential
ENSMUSG00000032409,Essential,Essential
ENSMUSG00000039354,Essential,Non-essential
ENSMUSG00000042535,Non-essential,Non-essential
ENSMUSG00000028963,Non-essential,Non-essential
ENSMUSG00000018537,Non-essential,Essential
ENSMUSG00000004565,Non-essential,NA
ENSMUSG00000033308,Non-essential,Non-essential
ENSMUSG00000016458,NA,Essential
ENSMUSG00000031737,Non-essential,Non-essential
ENSMUSG00000051343,Non-essential,Non-essential
ENSMUSG00000033257,Non-essential,Non-essential
ENSMUSG00000042197,Non-essential,Non-essential
ENSMUSG00000056436,Non-essential,Non-essential
ENSMUSG00000018581,Non-essential,Non-essential
ENSMUSG00000048582,Non-essential,Non-essential
ENSMUSG00000025321,Non-essential,Essential
ENSMUSG00000022144,Non-essential,Essential
ENSMUSG00000035696,Non-essential,NA
ENSMUSG00000026253,Non-essential,NA
ENSMUSG00000022124,Non-essential,Non-essential
ENSMUSG00000041459,Essential,Essential
ENSMUSG00000040502,Non-essential,Non-essential
ENSMUSG00000016239,Non-essential,Non-essential
ENSMUSG00000015522,Essential,Essential
ENSMUSG00000022678,Non-essential,Non-essential
ENSMUSG00000013076,Non-essential,Non-essential
ENSMUSG00000029283,Essential,Essential
ENSMUSG00000033740,Non-essential,Non-essential
ENSMUSG00000046985,Non-essential,NA
ENSMUSG00000025616,Non-essential,NA
ENSMUSG00000036450,Non-essential,Non-essential
ENSMUSG00000030330,Non-essential,Non-essential
ENSMUSG00000031812,Non-essential,Non-essential
ENSMUSG00000042496,Non-essential,Essential
ENSMUSG00000033249,Non-essential,Non-essential
ENSMUSG00000066705,Non-essential,Non-essential
ENSMUSG00000022783,Non-essential,NA
ENSMUSG00000024253,Non-essential,Essential
ENSMUSG00000001441,Non-essential,NA
ENSMUSG00000014030,Non-essential,Essential
ENSMUSG00000046049,Non-essential,Non-essential
ENSMUSG00000062694,Non-essential,Non-essential
ENSMUSG00000034160,Essential,Non-essential
ENSMUSG00000024319,Non-essential,Essential
ENSMUSG00000031858,Non-essential,Essential
ENSMUSG00000019027,Non-essential,NA
ENSMUSG00000073802,Non-essential,NA
ENSMUSG00000000275,Non-essential,Non-essential
ENSMUSG00000031004,Non-essential,Non-essential
ENSMUSG00000053604,Essential,Essential
ENSMUSG00000022911,Non-essential,NA
ENSMUSG00000029736,Non-essential,NA
ENSMUSG00000022722,Non-essential,NA
ENSMUSG00000023345,Essential,NA
ENSMUSG00000021958,Non-essential,Essential
ENSMUSG00000072889,Non-essential,Non-essential
ENSMUSG00000017837,Non-essential,Non-essential
ENSMUSG00000020451,Non-essential,Non-essential
ENSMUSG00000024515,Non-essential,Essential
ENSMUSG00000006345,Non-essential,NA
ENSMUSG00000035299,Non-essential,Non-essential
ENSMUSG00000066442,Non-essential,NA
ENSMUSG00000020307,Non-essential,NA
ENSMUSG00000058444,Non-essential,NA
ENSMUSG00000044340,NA,Non-essential
ENSMUSG00000063804,Non-essential,Non-essential
ENSMUSG00000027198,Non-essential,Essential
ENSMUSG00000017715,Essential,Essential
ENSMUSG00000026888,Non-essential,Non-essential
ENSMUSG00000020381,Non-essential,Non-essential
ENSMUSG00000020973,Non-essential,Essential
ENSMUSG00000049672,Non-essential,Non-essential
ENSMUSG00000055809,NA,Non-essential
ENSMUSG00000035606,Non-essential,Non-essential
ENSMUSG00000050410,Non-essential,Non-essential
ENSMUSG00000026039,Non-essential,NA
ENSMUSG00000032536,Non-essential,NA
ENSMUSG00000032966,Non-essential,Essential
ENSMUSG00000067889,Non-essential,Non-essential
ENSMUSG00000067825,Non-essential,NA
ENSMUSG00000031527,Non-essential,NA
ENSMUSG00000025270,Non-essential,Essential
ENSMUSG00000022711,Non-essential,Essential
ENSMUSG00000063458,Non-essential,Non-essential
ENSMUSG00000028834,Non-essential,Non-essential
ENSMUSG00000026509,Non-essential,Essential
ENSMUSG00000030541,Non-essential,Non-essential
ENSMUSG00000019505,Essential,NA
ENSMUSG00000024456,Non-essential,Non-essential
ENSMUSG00000090071,Non-essential,Non-essential
ENSMUSG00000030539,Non-essential,Non-essential
ENSMUSG00000044548,Non-essential,Essential
ENSMUSG00000030852,Non-essential,Non-essential
ENSMUSG00000047434,Non-essential,Non-essential
ENSMUSG00000024387,Essential,Essential
ENSMUSG00000091519,Non-essential,NA
ENSMUSG00000026121,Non-essential,NA
ENSMUSG00000030796,Non-essential,NA
ENSMUSG00000025138,Non-essential,NA
ENSMUSG00000035765,Non-essential,Non-essential
ENSMUSG00000020534,Non-essential,Non-essential
ENSMUSG00000025665,Non-essential,Non-essential
ENSMUSG00000035247,NA,NA
ENSMUSG00000035673,Essential,NA
ENSMUSG00000043099,Non-essential,Essential
ENSMUSG00000019804,NA,Essential
ENSMUSG00000047459,Essential,Essential
ENSMUSG00000021112,Non-essential,Non-essential
ENSMUSG00000005897,Non-essential,Non-essential
ENSMUSG00000035572,Non-essential,Non-essential
ENSMUSG00000042807,Non-essential,NA
ENSMUSG00000011114,Non-essential,Non-essential
ENSMUSG00000020865,Non-essential,Non-essential
ENSMUSG00000024182,Essential,Essential
ENSMUSG00000004788,Essential,NA
ENSMUSG00000033400,Non-essential,NA
ENSMUSG00000024837,Non-essential,NA
ENSMUSG00000024968,Non-essential,Non-essential
ENSMUSG00000020547,Non-essential,Non-essential
ENSMUSG00000032869,Non-essential,Essential
ENSMUSG00000032216,Non-essential,Essential
ENSMUSG00000039449,Non-essential,Essential
ENSMUSG00000021981,Non-essential,Non-essential
ENSMUSG00000021974,Non-essential,Essential
ENSMUSG00000029518,Non-essential,Essential
ENSMUSG00000029553,Non-essential,Non-essential
ENSMUSG00000001707,Essential,NA
ENSMUSG00000005534,Non-essential,NA
ENSMUSG00000024976,Essential,Essential
ENSMUSG00000011877,Non-essential,NA
ENSMUSG00000021569,Essential,NA
ENSMUSG00000060601,Non-essential,NA
ENSMUSG00000042650,Non-essential,Non-essential
ENSMUSG00000029821,Non-essential,Non-essential
ENSMUSG00000026782,Non-essential,Non-essential
ENSMUSG00000027368,Non-essential,Non-essential
ENSMUSG00000000326,Non-essential,Non-essential
ENSMUSG00000023192,Non-essential,Non-essential
ENSMUSG00000026103,Non-essential,Essential
ENSMUSG00000002660,Non-essential,NA
ENSMUSG00000072640,Non-essential,Non-essential
ENSMUSG00000041268,Non-essential,Essential
ENSMUSG00000029471,Essential,Non-essential
ENSMUSG00000040260,Non-essential,Non-essential
ENSMUSG00000025912,Non-essential,NA
ENSMUSG00000033282,NA,Essential
ENSMUSG00000026532,Non-essential,Essential
ENSMUSG00000030067,Non-essential,Essential
ENSMUSG00000053411,Non-essential,Non-essential
ENSMUSG00000026827,Non-essential,NA
ENSMUSG00000021541,Non-essential,Non-essential
ENSMUSG00000021221,Non-essential,Non-essential
ENSMUSG00000004798,Non-essential,Non-essential
ENSMUSG00000055493,Essential,NA
ENSMUSG00000031633,Non-essential,Non-essential
ENSMUSG00000026648,Non-essential,Non-essential
ENSMUSG00000051413,Non-essential,NA
ENSMUSG00000020120,Non-essential,Non-essential
ENSMUSG00000045598,Non-essential,NA
ENSMUSG00000006576,Non-essential,Non-essential
ENSMUSG00000029676,Essential,Essential
ENSMUSG00000032739,Non-essential,Non-essential
ENSMUSG00000029776,Non-essential,Non-essential
ENSMUSG00000020476,Non-essential,NA
ENSMUSG00000031438,Non-essential,Non-essential
ENSMUSG00000042029,NA,Essential
ENSMUSG00000022131,Non-essential,Non-essential
ENSMUSG00000024378,Non-essential,Non-essential
ENSMUSG00000025437,Non-essential,Non-essential
ENSMUSG00000043384,Non-essential,Non-essential
ENSMUSG00000017386,Non-essential,NA
ENSMUSG00000029033,Non-essential,Non-essential
ENSMUSG00000004151,Non-essential,NA
ENSMUSG00000010660,Non-essential,Non-essential
ENSMUSG00000024219,Non-essential,Non-essential
ENSMUSG00000021040,Non-essential,NA
ENSMUSG00000022621,Non-essential,NA
ENSMUSG00000070837,NA,Non-essential
ENSMUSG00000048029,Non-essential,NA
ENSMUSG00000027750,Non-essential,NA
ENSMUSG00000026739,Non-essential,Essential
ENSMUSG00000001864,Non-essential,Non-essential
ENSMUSG00000043051,Non-essential,Non-essential
ENSMUSG00000019900,Non-essential,Essential
ENSMUSG00000031196,Non-essential,Non-essential
ENSMUSG00000041730,Non-essential,Essential
ENSMUSG00000037697,Non-essential,Non-essential
ENSMUSG00000015474,Non-essential,NA
ENSMUSG00000024767,Non-essential,Essential
ENSMUSG00000055435,Non-essential,Essential
ENSMUSG00000045680,Non-essential,Essential
ENSMUSG00000027867,Non-essential,NA
ENSMUSG00000021096,Non-essential,Non-essential
ENSMUSG00000025364,Non-essential,Non-essential
ENSMUSG00000020132,Non-essential,Essential
ENSMUSG00000022102,Non-essential,Non-essential
ENSMUSG00000030337,Non-essential,NA
ENSMUSG00000027692,Non-essential,Non-essential
ENSMUSG00000015243,Non-essential,Essential
ENSMUSG00000020537,Non-essential,Non-essential
ENSMUSG00000025223,Non-essential,Essential
ENSMUSG00000017405,Non-essential,NA
ENSMUSG00000027852,Non-essential,Essential
ENSMUSG00000020844,Non-essential,Essential
ENSMUSG00000038712,Non-essential,Non-essential
ENSMUSG00000027615,Non-essential,Non-essential
ENSMUSG00000000149,Non-essential,Non-essential
ENSMUSG00000030357,Non-essential,NA
ENSMUSG00000024941,Non-essential,NA
ENSMUSG00000022216,Non-essential,Non-essential
ENSMUSG00000021485,Essential,Non-essential
ENSMUSG00000029146,Non-essential,Non-essential
ENSMUSG00000003032,Non-essential,Essential
ENSMUSG00000036461,Non-essential,Non-essential
ENSMUSG00000005087,Non-essential,Non-essential
ENSMUSG00000004846,Non-essential,Essential
ENSMUSG00000057058,Non-essential,Non-essential
ENSMUSG00000031616,Non-essential,Essential
ENSMUSG00000022174,Essential,Essential
ENSMUSG00000031730,Non-essential,Essential
ENSMUSG00000019817,Non-essential,NA
ENSMUSG00000051391,Non-essential,Non-essential
ENSMUSG00000036529,Non-essential,NA
ENSMUSG00000004651,Non-essential,NA
ENSMUSG00000034848,Non-essential,Non-essential
ENSMUSG00000072941,Non-essential,Non-essential
ENSMUSG00000075256,NA,Non-essential
ENSMUSG00000018923,Essential,Essential
ENSMUSG00000036980,NA,Essential
ENSMUSG00000030047,Non-essential,Non-essential
ENSMUSG00000038058,NA,Non-essential
ENSMUSG00000030102,Non-essential,Essential
ENSMUSG00000071359,Non-essential,NA
ENSMUSG00000075012,Non-essential,Non-essential
ENSMUSG00000002833,Non-essential,NA
ENSMUSG00000022982,Essential,NA
ENSMUSG00000041120,Non-essential,Non-essential
ENSMUSG00000061665,NA,NA
ENSMUSG00000020954,Non-essential,Essential
ENSMUSG00000057738,NA,NA
ENSMUSG00000021765,Non-essential,Essential
ENSMUSG00000062012,Non-essential,Non-essential
ENSMUSG00000028821,Non-essential,NA
ENSMUSG00000022545,Essential,NA
ENSMUSG00000007476,Non-essential,Essential
ENSMUSG00000071757,Non-essential,Non-essential
ENSMUSG00000018822,Non-essential,Non-essential
ENSMUSG00000027523,Non-essential,Essential
ENSMUSG00000034247,Non-essential,Non-essential
ENSMUSG00000028381,Non-essential,Essential
ENSMUSG00000040943,Non-essential,NA
ENSMUSG00000020583,Non-essential,Non-essential
ENSMUSG00000075316,Non-essential,Essential
ENSMUSG00000045294,Non-essential,Non-essential
ENSMUSG00000025357,Non-essential,NA
ENSMUSG00000047193,Non-essential,Essential
ENSMUSG00000040533,Non-essential,Non-essential
ENSMUSG00000020794,Non-essential,NA
ENSMUSG00000049796,Non-essential,Non-essential
ENSMUSG00000027082,Non-essential,Essential
ENSMUSG00000041498,Non-essential,NA
ENSMUSG00000034867,Non-essential,Non-essential
ENSMUSG00000041650,Non-essential,Essential
ENSMUSG00000069539,Non-essential,NA
ENSMUSG00000037406,Non-essential,Non-essential
ENSMUSG00000051149,Non-essential,Essential
ENSMUSG00000027254,Non-essential,Non-essential
ENSMUSG00000035578,Non-essential,NA
ENSMUSG00000025486,Non-essential,Non-essential
ENSMUSG00000048921,Non-essential,NA
ENSMUSG00000055523,NA,Non-essential
ENSMUSG00000035356,NA,NA
ENSMUSG00000025240,Essential,Essential
ENSMUSG00000018398,Non-essential,Non-essential
ENSMUSG00000031839,Non-essential,NA
ENSMUSG00000040209,Non-essential,Non-essential
ENSMUSG00000079277,Non-essential,NA
ENSMUSG00000015488,Non-essential,Non-essential
ENSMUSG00000001909,Non-essential,Essential
ENSMUSG00000056201,Non-essential,Essential
ENSMUSG00000025789,Non-essential,Non-essential
ENSMUSG00000022428,Essential,NA
ENSMUSG00000029206,Non-essential,Non-essential
ENSMUSG00000048930,Non-essential,Essential
ENSMUSG00000040021,Non-essential,NA
ENSMUSG00000027699,Essential,Essential
ENSMUSG00000038205,Non-essential,NA
ENSMUSG00000060461,NA,Non-essential
ENSMUSG00000036123,Non-essential,NA
ENSMUSG00000079036,Non-essential,NA
ENSMUSG00000001785,Essential,Essential
ENSMUSG00000000561,Essential,Essential
ENSMUSG00000007035,Non-essential,NA
ENSMUSG00000022996,Non-essential,Non-essential
ENSMUSG00000017652,Non-essential,Non-essential
ENSMUSG00000031328,Non-essential,Essential
ENSMUSG00000026058,Non-essential,Non-essential
ENSMUSG00000015843,Non-essential,NA
ENSMUSG00000023391,Non-essential,NA
ENSMUSG00000024642,Non-essential,NA
ENSMUSG00000000134,Non-essential,Non-essential
ENSMUSG00000025130,Non-essential,Essential
ENSMUSG00000032485,Essential,Non-essential
ENSMUSG00000049577,NA,Essential
ENSMUSG00000001467,Non-essential,Essential
ENSMUSG00000025332,Non-essential,Essential
ENSMUSG00000082361,Non-essential,Non-essential
ENSMUSG00000041236,Non-essential,Essential
ENSMUSG00000056749,Non-essential,Non-essential
ENSMUSG00000001794,Non-essential,Essential
ENSMUSG00000053253,Non-essential,NA
ENSMUSG00000024096,Non-essential,Non-essential
ENSMUSG00000028759,Non-essential,NA
ENSMUSG00000037225,Non-essential,Non-essential
ENSMUSG00000039232,Non-essential,Non-essential
ENSMUSG00000061315,Essential,NA
ENSMUSG00000032228,Non-essential,NA
ENSMUSG00000039156,Non-essential,NA
ENSMUSG00000047298,Non-essential,Non-essential
ENSMUSG00000038844,Non-essential,NA
ENSMUSG00000022051,Non-essential,Non-essential
ENSMUSG00000019261,Non-essential,Non-essential
ENSMUSG00000029822,Non-essential,Non-essential
ENSMUSG00000040627,Essential,Non-essential
ENSMUSG00000027597,NA,Essential
ENSMUSG00000005362,Non-essential,Non-essential
ENSMUSG00000034269,Essential,Essential
ENSMUSG00000050397,Non-essential,NA
ENSMUSG00000027364,Non-essential,Essential
ENSMUSG00000076435,Non-essential,Non-essential
ENSMUSG00000028893,Non-essential,Non-essential
ENSMUSG00000054021,Non-essential,Non-essential
ENSMUSG00000031453,NA,Essential
ENSMUSG00000025930,Non-essential,Non-essential
ENSMUSG00000036931,Non-essential,Non-essential
