Gene,Essential OEG
WBGene00011824,Non-essential
WBGene00019014,Non-essential
WBGene00001552,Non-essential
WBGene00001884,Essential
WBGene00013140,Non-essential
WBGene00007109,Non-essential
WBGene00018741,Non-essential
WBGene00003991,Non-essential
WBGene00017064,Non-essential
WBGene00020376,Non-essential
WBGene00006133,Non-essential
WBGene00000512,Non-essential
WBGene00015250,Non-essential
WBGene00008082,Non-essential
WBGene00013610,Non-essential
WBGene00009013,Non-essential
WBGene00006574,Non-essential
WBGene00022670,Non-essential
WBGene00001899,Non-essential
WBGene00044078,Non-essential
WBGene00008033,Non-essential
WBGene00044623,Essential
WBGene00011883,Essential
WBGene00008956,Non-essential
WBGene00003581,Non-essential
WBGene00006655,Non-essential
WBGene00016823,Non-essential
WBGene00000468,Non-essential
WBGene00007189,Non-essential
WBGene00003084,Non-essential
WBGene00007386,Non-essential
WBGene00006715,Non-essential
WBGene00019712,Non-essential
WBGene00018661,Non-essential
WBGene00014166,Non-essential
WBGene00009664,Essential
WBGene00001940,Essential
WBGene00002248,Non-essential
WBGene00022589,Non-essential
WBGene00019126,Essential
WBGene00006489,Non-essential
WBGene00001501,Non-essential
WBGene00015216,Non-essential
WBGene00018149,Essential
WBGene00011379,Non-essential
WBGene00004991,Non-essential
WBGene00018000,Non-essential
WBGene00011840,Non-essential
WBGene00001529,Non-essential
WBGene00015451,Non-essential
WBGene00011342,Non-essential
WBGene00021270,Essential
WBGene00022798,Non-essential
WBGene00019890,Non-essential
WBGene00009316,Non-essential
WBGene00007168,Non-essential
WBGene00000422,Non-essential
WBGene00009187,Non-essential
WBGene00008107,Essential
WBGene00022423,Non-essential
WBGene00015924,Non-essential
WBGene00016879,Non-essential
WBGene00020765,Non-essential
WBGene00012142,Non-essential
WBGene00016448,Non-essential
WBGene00015912,Non-essential
WBGene00006463,Essential
WBGene00022547,Non-essential
WBGene00017898,Non-essential
WBGene00012112,Non-essential
WBGene00017244,Non-essential
WBGene00017874,Non-essential
WBGene00000540,Non-essential
WBGene00003511,Non-essential
WBGene00000830,Non-essential
WBGene00007622,Non-essential
WBGene00010353,Non-essential
WBGene00011329,Non-essential
WBGene00016978,Non-essential
WBGene00016266,Non-essential
WBGene00019599,Non-essential
WBGene00016836,Non-essential
WBGene00020064,Essential
WBGene00000975,Non-essential
WBGene00022703,Non-essential
WBGene00022691,Non-essential
WBGene00022603,Non-essential
WBGene00006415,Non-essential
WBGene00017174,Non-essential
WBGene00019453,Non-essential
WBGene00017031,Non-essential
WBGene00018711,Non-essential
WBGene00016464,Non-essential
WBGene00017214,Essential
WBGene00013477,Non-essential
WBGene00010974,Non-essential
WBGene00006720,Non-essential
WBGene00007576,Non-essential
WBGene00019604,Non-essential
WBGene00016443,Non-essential
WBGene00018377,Non-essential
WBGene00004400,Non-essential
WBGene00012855,Non-essential
WBGene00019800,Non-essential
WBGene00019630,Essential
WBGene00014000,Non-essential
WBGene00015295,Non-essential
WBGene00016294,Non-essential
WBGene00019068,Non-essential
WBGene00010215,Non-essential
WBGene00009611,Non-essential
WBGene00018034,Non-essential
WBGene00018632,Non-essential
WBGene00016623,Non-essential
WBGene00013201,Non-essential
WBGene00015809,Essential
WBGene00006737,Non-essential
WBGene00007234,Non-essential
WBGene00002003,Non-essential
WBGene00018610,Non-essential
WBGene00019353,Non-essential
WBGene00012337,Non-essential
WBGene00007114,Non-essential
WBGene00004494,Non-essential
WBGene00009079,Non-essential
WBGene00006414,Non-essential
WBGene00019102,Non-essential
WBGene00003234,Non-essential
WBGene00006607,Non-essential
WBGene00018908,Non-essential
WBGene00018679,Non-essential
WBGene00007087,Non-essential
WBGene00015385,Non-essential
WBGene00016126,Non-essential
WBGene00000831,Non-essential
WBGene00012786,Non-essential
WBGene00011040,Essential
WBGene00011415,Non-essential
WBGene00009657,Non-essential
WBGene00021111,Non-essential
WBGene00022722,Non-essential
WBGene00015249,Non-essential
WBGene00015851,Non-essential
WBGene00015801,Non-essential
WBGene00010523,Non-essential
WBGene00017395,Essential
WBGene00017355,Non-essential
WBGene00020422,Non-essential
WBGene00011298,Non-essential
WBGene00012953,Non-essential
WBGene00011094,Non-essential
WBGene00013785,Non-essential
WBGene00001358,Essential
WBGene00010565,Non-essential
WBGene00006717,Non-essential
WBGene00016169,Essential
WBGene00015270,Non-essential
WBGene00001042,Non-essential
WBGene00012109,Non-essential
WBGene00008776,Non-essential
WBGene00015661,Non-essential
WBGene00009672,Essential
WBGene00008019,Non-essential
WBGene00017725,Non-essential
WBGene00019317,Non-essential
WBGene00007561,Essential
WBGene00010809,Essential
WBGene00011324,Non-essential
WBGene00020914,Non-essential
WBGene00019825,Non-essential
WBGene00017987,Non-essential
WBGene00019631,Non-essential
WBGene00010496,Essential
WBGene00020843,Non-essential
WBGene00013558,Non-essential
WBGene00015134,Non-essential
WBGene00012738,Non-essential
WBGene00009627,Non-essential
WBGene00007880,Non-essential
WBGene00018609,Essential
WBGene00006433,Essential
WBGene00015327,Non-essential
WBGene00011327,Non-essential
WBGene00011034,Non-essential
WBGene00022888,Non-essential
WBGene00022880,Non-essential
WBGene00020825,Non-essential
WBGene00009127,Non-essential
WBGene00020381,Non-essential
WBGene00009258,Non-essential
WBGene00009824,Non-essential
WBGene00000133,Non-essential
WBGene00001898,Non-essential
WBGene00001915,Essential
WBGene00012984,Non-essential
WBGene00021109,Non-essential
WBGene00003495,Non-essential
WBGene00019421,Non-essential
WBGene00009226,Non-essential
WBGene00022631,Essential
WBGene00012348,Non-essential
WBGene00016104,Non-essential
WBGene00004755,Essential
WBGene00007744,Essential
WBGene00015758,Non-essential
WBGene00005021,Non-essential
WBGene00016941,Non-essential
WBGene00006729,Non-essential
WBGene00022646,Non-essential
WBGene00008585,Non-essential
WBGene00004321,Non-essential
WBGene00021134,Non-essential
WBGene00017182,Non-essential
WBGene00015515,Essential
WBGene00007760,Non-essential
WBGene00016716,Non-essential
WBGene00020298,Non-essential
WBGene00000497,Essential
WBGene00015800,Non-essential
WBGene00014031,Non-essential
WBGene00013802,Non-essential
WBGene00003816,Non-essential
WBGene00015346,Non-essential
WBGene00001909,Non-essential
WBGene00006977,Non-essential
WBGene00022512,Non-essential
WBGene00000189,Non-essential
WBGene00000552,Essential
WBGene00007978,Non-essential
WBGene00007631,Non-essential
WBGene00020267,Non-essential
WBGene00006913,Essential
WBGene00009559,Non-essential
WBGene00007943,Non-essential
WBGene00001171,Non-essential
WBGene00018567,Non-essential
WBGene00016062,Non-essential
WBGene00003017,Non-essential
WBGene00007771,Non-essential
WBGene00004798,Non-essential
WBGene00008136,Non-essential
WBGene00021093,Non-essential
WBGene00004682,Non-essential
WBGene00011780,Non-essential
WBGene00007167,Non-essential
WBGene00022546,Non-essential
WBGene00010730,Non-essential
WBGene00001885,Essential
WBGene00016967,Non-essential
WBGene00011015,Essential
WBGene00004024,Non-essential
WBGene00007985,Non-essential
WBGene00012206,Non-essential
WBGene00011776,Non-essential
WBGene00013563,Non-essential
WBGene00013999,Non-essential
WBGene00013200,Non-essential
WBGene00016311,Non-essential
WBGene00018270,Essential
WBGene00008397,Non-essential
WBGene00010337,Non-essential
WBGene00006516,Essential
WBGene00018152,Non-essential
WBGene00005643,Non-essential
WBGene00020326,Non-essential
WBGene00007364,Non-essential
WBGene00007122,Non-essential
WBGene00001904,Essential
WBGene00018585,Non-essential
WBGene00022746,Non-essential
WBGene00003982,Non-essential
WBGene00012252,Non-essential
WBGene00018719,Non-essential
WBGene00007745,Non-essential
WBGene00000201,Non-essential
WBGene00001427,Non-essential
WBGene00011806,Non-essential
WBGene00007404,Non-essential
WBGene00004185,Essential
WBGene00001242,Non-essential
WBGene00008145,Non-essential
WBGene00003107,Non-essential
WBGene00012651,Non-essential
WBGene00018894,Non-essential
WBGene00019174,Non-essential
WBGene00015555,Non-essential
WBGene00010838,Non-essential
WBGene00004132,Non-essential
WBGene00011059,Non-essential
WBGene00005026,Non-essential
WBGene00016545,Non-essential
WBGene00000443,Non-essential
WBGene00019116,Non-essential
WBGene00020234,Non-essential
WBGene00004305,Essential
WBGene00022721,Non-essential
WBGene00010502,Non-essential
WBGene00009065,Non-essential
WBGene00020823,Non-essential
WBGene00009176,Non-essential
WBGene00009812,Non-essential
WBGene00009865,Non-essential
WBGene00022881,Non-essential
WBGene00003072,Non-essential
WBGene00016109,Non-essential
WBGene00003518,Non-essential
WBGene00017311,Non-essential
WBGene00017069,Non-essential
WBGene00015590,Non-essential
WBGene00007705,Non-essential
WBGene00010595,Non-essential
WBGene00003905,Non-essential
WBGene00019723,Non-essential
WBGene00008034,Non-essential
WBGene00001149,Non-essential
WBGene00020038,Non-essential
WBGene00017339,Non-essential
WBGene00004270,Non-essential
WBGene00011254,Non-essential
WBGene00000765,Non-essential
WBGene00003588,Non-essential
WBGene00015326,Non-essential
WBGene00017132,Essential
WBGene00019679,Essential
WBGene00019395,Non-essential
WBGene00017467,Non-essential
WBGene00011047,Non-essential
WBGene00007966,Non-essential
WBGene00019427,Non-essential
WBGene00015827,Non-essential
WBGene00008977,Non-essential
WBGene00007186,Non-essential
WBGene00000960,Non-essential
WBGene00015552,Non-essential
WBGene00011016,Non-essential
WBGene00019833,Non-essential
WBGene00000193,Non-essential
WBGene00017428,Non-essential
WBGene00011526,Non-essential
WBGene00006796,Essential
WBGene00014074,Non-essential
WBGene00020031,Non-essential
WBGene00019822,Non-essential
WBGene00012194,Non-essential
WBGene00004721,Non-essential
WBGene00020120,Non-essential
WBGene00020777,Non-essential
WBGene00010355,Non-essential
WBGene00010892,Non-essential
WBGene00010564,Non-essential
WBGene00020974,Non-essential
WBGene00006910,Essential
WBGene00011606,Non-essential
WBGene00015716,Non-essential
WBGene00002070,Non-essential
WBGene00020812,Non-essential
WBGene00008404,Non-essential
WBGene00016159,Non-essential
WBGene00010555,Non-essential
WBGene00016449,Essential
WBGene00004981,Non-essential
WBGene00020719,Non-essential
WBGene00003791,Non-essential
WBGene00003603,Non-essential
WBGene00020952,Non-essential
WBGene00010272,Non-essential
WBGene00012609,Non-essential
WBGene00008622,Non-essential
WBGene00016874,Non-essential
WBGene00000989,Non-essential
WBGene00008086,Non-essential
WBGene00007797,Non-essential
WBGene00008630,Non-essential
WBGene00003717,Non-essential
WBGene00018483,Non-essential
WBGene00009908,Non-essential
WBGene00019965,Non-essential
WBGene00003225,Essential
WBGene00019902,Non-essential
WBGene00004274,Non-essential
WBGene00007154,Non-essential
WBGene00009537,Non-essential
WBGene00011087,Non-essential
WBGene00010763,Non-essential
WBGene00001073,Non-essential
WBGene00010684,Non-essential
WBGene00015481,Non-essential
WBGene00019003,Non-essential
WBGene00003864,Non-essential
WBGene00009687,Non-essential
WBGene00007550,Non-essential
WBGene00002186,Non-essential
WBGene00018010,Non-essential
WBGene00009364,Non-essential
WBGene00011645,Non-essential
WBGene00019835,Non-essential
WBGene00015173,Non-essential
WBGene00010251,Non-essential
WBGene00018248,Non-essential
WBGene00019509,Non-essential
WBGene00013422,Non-essential
WBGene00010115,Non-essential
WBGene00010944,Non-essential
WBGene00009025,Non-essential
WBGene00002267,Non-essential
WBGene00013082,Non-essential
WBGene00008275,Non-essential
WBGene00003578,Non-essential
WBGene00016380,Non-essential
WBGene00014223,Non-essential
WBGene00008206,Non-essential
WBGene00010229,Non-essential
WBGene00012785,Non-essential
WBGene00015185,Non-essential
WBGene00008417,Non-essential
WBGene00017179,Non-essential
WBGene00000984,Non-essential
WBGene00009647,Non-essential
WBGene00008929,Non-essential
WBGene00004926,Non-essential
WBGene00018080,Non-essential
WBGene00017466,Non-essential
WBGene00013293,Non-essential
WBGene00011661,Non-essential
WBGene00006785,Non-essential
WBGene00013227,Non-essential
WBGene00003686,Non-essential
WBGene00003400,Non-essential
WBGene00015204,Non-essential
WBGene00010583,Non-essential
WBGene00022265,Non-essential
WBGene00010942,Non-essential
WBGene00003802,Non-essential
WBGene00007718,Non-essential
WBGene00009358,Non-essential
WBGene00003517,Non-essential
WBGene00015015,Non-essential
WBGene00006938,Non-essential
WBGene00011434,Non-essential
WBGene00017002,Non-essential
WBGene00020767,Non-essential
WBGene00017328,Essential
WBGene00003797,Essential
WBGene00020095,Non-essential
WBGene00008686,Non-essential
WBGene00009272,Non-essential
WBGene00009973,Non-essential
WBGene00000088,Essential
WBGene00000477,Non-essential
WBGene00010331,Non-essential
WBGene00018414,Non-essential
WBGene00012431,Non-essential
WBGene00009678,Non-essential
WBGene00008985,Non-essential
WBGene00003179,Non-essential
WBGene00020933,Non-essential
WBGene00009164,Non-essential
WBGene00009101,Non-essential
WBGene00013425,Non-essential
WBGene00012138,Non-essential
WBGene00007036,Non-essential
WBGene00012487,Non-essential
WBGene00013547,Non-essential
WBGene00007323,Non-essential
WBGene00021022,Non-essential
WBGene00009867,Non-essential
WBGene00011860,Non-essential
WBGene00017130,Non-essential
WBGene00008224,Non-essential
WBGene00012157,Non-essential
WBGene00012045,Non-essential
WBGene00005025,Non-essential
WBGene00004192,Non-essential
WBGene00008333,Non-essential
WBGene00009827,Non-essential
WBGene00017548,Non-essential
WBGene00001939,Essential
WBGene00010453,Non-essential
WBGene00022810,Non-essential
WBGene00021727,Non-essential
WBGene00016911,Non-essential
WBGene00003784,Non-essential
WBGene00020770,Non-essential
WBGene00018639,Non-essential
WBGene00021548,Non-essential
WBGene00010877,Non-essential
WBGene00009455,Non-essential
WBGene00012740,Non-essential
WBGene00020043,Non-essential
WBGene00000950,Non-essential
WBGene00003000,Non-essential
WBGene00022752,Non-essential
WBGene00010483,Non-essential
WBGene00015164,Essential
WBGene00019624,Non-essential
WBGene00012527,Non-essential
WBGene00016975,Non-essential
WBGene00006921,Essential
WBGene00000775,Non-essential
WBGene00015867,Non-essential
WBGene00017352,Non-essential
WBGene00019060,Non-essential
WBGene00010938,Non-essential
WBGene00018150,Non-essential
WBGene00011345,Non-essential
WBGene00001920,Essential
WBGene00022578,Non-essential
WBGene00008768,Non-essential
WBGene00019360,Non-essential
WBGene00000054,Non-essential
WBGene00001050,Non-essential
WBGene00016325,Non-essential
WBGene00000407,Non-essential
WBGene00004994,Non-essential
WBGene00012559,Non-essential
WBGene00019607,Non-essential
WBGene00000455,Non-essential
WBGene00002220,Non-essential
WBGene00018096,Non-essential
WBGene00009155,Non-essential
WBGene00020635,Non-essential
WBGene00013219,Non-essential
WBGene00017837,Non-essential
WBGene00010336,Non-essential
WBGene00019900,Non-essential
WBGene00008330,Non-essential
WBGene00016574,Non-essential
WBGene00010581,Non-essential
WBGene00015714,Non-essential
WBGene00001875,Non-essential
WBGene00000879,Non-essential
WBGene00016167,Non-essential
WBGene00003477,Non-essential
WBGene00003112,Non-essential
WBGene00015791,Non-essential
WBGene00008476,Essential
WBGene00022871,Non-essential
WBGene00004351,Non-essential
WBGene00020744,Non-essential
WBGene00010334,Non-essential
WBGene00001155,Non-essential
WBGene00013276,Non-essential
WBGene00022815,Non-essential
WBGene00019328,Non-essential
WBGene00003222,Non-essential
WBGene00012804,Non-essential
WBGene00016023,Non-essential
WBGene00010488,Non-essential
WBGene00020274,Non-essential
WBGene00020435,Non-essential
WBGene00014160,Non-essential
WBGene00009357,Non-essential
WBGene00020436,Non-essential
WBGene00006744,Non-essential
WBGene00012275,Non-essential
WBGene00015130,Non-essential
WBGene00001545,Non-essential
WBGene00020462,Non-essential
WBGene00016460,Non-essential
WBGene00015278,Non-essential
WBGene00012553,Essential
WBGene00000097,Non-essential
WBGene00006066,Non-essential
WBGene00006603,Non-essential
WBGene00016767,Non-essential
WBGene00004276,Non-essential
WBGene00019675,Non-essential
WBGene00007302,Non-essential
WBGene00007057,Non-essential
WBGene00016965,Non-essential
WBGene00008159,Non-essential
WBGene00016548,Non-essential
WBGene00022608,Non-essential
WBGene00020035,Non-essential
WBGene00021041,Non-essential
WBGene00008318,Non-essential
WBGene00012132,Non-essential
WBGene00022532,Non-essential
WBGene00001905,Non-essential
WBGene00012416,Non-essential
WBGene00012060,Non-essential
WBGene00016922,Non-essential
WBGene00013043,Non-essential
WBGene00020523,Non-essential
WBGene00021952,Essential
WBGene00020636,Essential
WBGene00020667,Non-essential
WBGene00019725,Non-essential
WBGene00017357,Non-essential
WBGene00007372,Non-essential
WBGene00015423,Non-essential
WBGene00004211,Non-essential
WBGene00006504,Non-essential
WBGene00007248,Non-essential
WBGene00016867,Non-essential
WBGene00006761,Non-essential
WBGene00020555,Non-essential
WBGene00010130,Non-essential
WBGene00020989,Non-essential
WBGene00019811,Non-essential
WBGene00013124,Non-essential
WBGene00015859,Non-essential
WBGene00003086,Non-essential
WBGene00012295,Non-essential
WBGene00011307,Non-essential
WBGene00001135,Non-essential
WBGene00013235,Non-essential
WBGene00010232,Non-essential
WBGene00015200,Non-essential
WBGene00009223,Non-essential
WBGene00012285,Non-essential
WBGene00010628,Non-essential
WBGene00016474,Non-essential
WBGene00021969,Non-essential
WBGene00020652,Essential
WBGene00017708,Non-essential
WBGene00016340,Non-essential
WBGene00001931,Essential
WBGene00008426,Non-essential
WBGene00010433,Non-essential
WBGene00001077,Non-essential
WBGene00016321,Non-essential
WBGene00004786,Essential
WBGene00016676,Essential
WBGene00015425,Non-essential
WBGene00018940,Non-essential
WBGene00010678,Non-essential
WBGene00000296,Non-essential
WBGene00001137,Non-essential
WBGene00010437,Non-essential
WBGene00015307,Non-essential
WBGene00009825,Non-essential
WBGene00016139,Non-essential
WBGene00019527,Non-essential
WBGene00012225,Non-essential
WBGene00003790,Non-essential
WBGene00007208,Non-essential
WBGene00009385,Essential
WBGene00017879,Non-essential
WBGene00008902,Non-essential
WBGene00000019,Non-essential
WBGene00020515,Non-essential
WBGene00020045,Non-essential
WBGene00007126,Non-essential
WBGene00001818,Non-essential
WBGene00001889,Essential
WBGene00018424,Non-essential
WBGene00003989,Essential
WBGene00011741,Non-essential
WBGene00004856,Non-essential
WBGene00017358,Essential
WBGene00009365,Non-essential
WBGene00015446,Non-essential
WBGene00015662,Non-essential
WBGene00010891,Non-essential
WBGene00008762,Non-essential
WBGene00018591,Non-essential
WBGene00008882,Non-essential
WBGene00012748,Non-essential
WBGene00020093,Essential
WBGene00014229,Non-essential
WBGene00008221,Non-essential
WBGene00011562,Non-essential
WBGene00001202,Non-essential
WBGene00020163,Non-essential
WBGene00015138,Non-essential
WBGene00019680,Essential
WBGene00000262,Non-essential
WBGene00000068,Non-essential
WBGene00011529,Non-essential
WBGene00007047,Non-essential
WBGene00016283,Non-essential
WBGene00006565,Essential
WBGene00006578,Non-essential
WBGene00008094,Non-essential
WBGene00019967,Non-essential
WBGene00009781,Non-essential
WBGene00008732,Non-essential
WBGene00008648,Non-essential
WBGene00000553,Non-essential
WBGene00004795,Non-essential
WBGene00007136,Non-essential
WBGene00013789,Non-essential
WBGene00012343,Non-essential
WBGene00018267,Non-essential
WBGene00010048,Non-essential
WBGene00022518,Non-essential
WBGene00019429,Non-essential
WBGene00018532,Non-essential
WBGene00020858,Non-essential
WBGene00003043,Non-essential
WBGene00007303,Non-essential
WBGene00016387,Non-essential
WBGene00086546,Non-essential
WBGene00004766,Non-essential
WBGene00017136,Non-essential
WBGene00012094,Non-essential
WBGene00020764,Non-essential
WBGene00004183,Non-essential
WBGene00016665,Non-essential
WBGene00016034,Non-essential
WBGene00012345,Non-essential
WBGene00011449,Non-essential
WBGene00007531,Non-essential
WBGene00018777,Non-essential
WBGene00000795,Non-essential
WBGene00003507,Non-essential
WBGene00001691,Non-essential
WBGene00013197,Non-essential
WBGene00011953,Non-essential
WBGene00001811,Non-essential
WBGene00003800,Non-essential
WBGene00014997,Non-essential
WBGene00017221,Non-essential
WBGene00012246,Non-essential
WBGene00008202,Non-essential
WBGene00016381,Non-essential
WBGene00017283,Non-essential
WBGene00008196,Non-essential
WBGene00004860,Non-essential
WBGene00018766,Non-essential
WBGene00017591,Non-essential
WBGene00018408,Non-essential
WBGene00015320,Non-essential
WBGene00016072,Non-essential
WBGene00017880,Non-essential
WBGene00013499,Non-essential
WBGene00002027,Non-essential
WBGene00006619,Non-essential
WBGene00008844,Non-essential
WBGene00009544,Non-essential
WBGene00000788,Essential
WBGene00008957,Non-essential
WBGene00021654,Non-essential
WBGene00017826,Non-essential
WBGene00019987,Non-essential
WBGene00013919,Non-essential
WBGene00015816,Non-essential
WBGene00018902,Non-essential
WBGene00006922,Non-essential
WBGene00021027,Non-essential
WBGene00010692,Non-essential
WBGene00018232,Non-essential
WBGene00022610,Non-essential
WBGene00000964,Non-essential
WBGene00011556,Non-essential
WBGene00012516,Non-essential
WBGene00018421,Non-essential
WBGene00011489,Non-essential
WBGene00019272,Non-essential
WBGene00001179,Non-essential
WBGene00019326,Non-essential
WBGene00021010,Non-essential
WBGene00022612,Non-essential
WBGene00016606,Non-essential
WBGene00006735,Essential
WBGene00008403,Non-essential
WBGene00020857,Non-essential
WBGene00004774,Essential
WBGene00016032,Non-essential
WBGene00006711,Non-essential
WBGene00011932,Non-essential
WBGene00016366,Non-essential
WBGene00018157,Non-essential
WBGene00016739,Non-essential
WBGene00020517,Essential
WBGene00009008,Non-essential
WBGene00000113,Non-essential
WBGene00020782,Non-essential
WBGene00015899,Non-essential
WBGene00013290,Non-essential
WBGene00001677,Non-essential
WBGene00006448,Non-essential
WBGene00015009,Non-essential
WBGene00000159,Essential
WBGene00001186,Non-essential
WBGene00011224,Non-essential
WBGene00020701,Non-essential
WBGene00018296,Non-essential
WBGene00008690,Non-essential
WBGene00003397,Non-essential
WBGene00012394,Non-essential
WBGene00015424,Non-essential
WBGene00007092,Non-essential
WBGene00002987,Non-essential
WBGene00019879,Non-essential
WBGene00002247,Essential
WBGene00000567,Non-essential
WBGene00006882,Non-essential
WBGene00007904,Non-essential
WBGene00006732,Non-essential
WBGene00011925,Non-essential
WBGene00009622,Non-essential
WBGene00020321,Non-essential
WBGene00015331,Non-essential
WBGene00022829,Non-essential
WBGene00013799,Non-essential
WBGene00014103,Non-essential
WBGene00017723,Non-essential
WBGene00016260,Non-essential
WBGene00009839,Non-essential
WBGene00013549,Non-essential
WBGene00002183,Non-essential
WBGene00006419,Non-essential
WBGene00013946,Non-essential
WBGene00000485,Non-essential
WBGene00001484,Non-essential
WBGene00007419,Non-essential
WBGene00020790,Non-essential
WBGene00020025,Non-essential
WBGene00011873,Non-essential
WBGene00010053,Non-essential
WBGene00007724,Non-essential
WBGene00007848,Essential
WBGene00016227,Non-essential
WBGene00008186,Non-essential
WBGene00004125,Essential
WBGene00022753,Non-essential
WBGene00001936,Essential
WBGene00016901,Non-essential
WBGene00014233,Non-essential
WBGene00017060,Non-essential
WBGene00015416,Non-essential
WBGene00019783,Non-essential
WBGene00011474,Non-essential
WBGene00001879,Essential
WBGene00004143,Non-essential
WBGene00007275,Non-essential
WBGene00012102,Non-essential
WBGene00001638,Non-essential
WBGene00022796,Non-essential
WBGene00016889,Non-essential
WBGene00016622,Non-essential
WBGene00017289,Non-essential
WBGene00018193,Non-essential
WBGene00012437,Non-essential
WBGene00015845,Non-essential
WBGene00019455,Essential
WBGene00006881,Non-essential
WBGene00015157,Non-essential
WBGene00010975,Non-essential
WBGene00020741,Non-essential
WBGene00015534,Non-essential
WBGene00001640,Non-essential
WBGene00009788,Non-essential
WBGene00014145,Non-essential
WBGene00007951,Non-essential
WBGene00008144,Non-essential
WBGene00007708,Non-essential
WBGene00001908,Essential
WBGene00015970,Non-essential
WBGene00017589,Non-essential
WBGene00010505,Non-essential
WBGene00000209,Essential
WBGene00001244,Non-essential
WBGene00009485,Non-essential
WBGene00013079,Non-essential
WBGene00002029,Non-essential
WBGene00003649,Non-essential
WBGene00013590,Non-essential
WBGene00019964,Non-essential
WBGene00011528,Non-essential
WBGene00012639,Non-essential
WBGene00004256,Non-essential
WBGene00019327,Non-essential
WBGene00001667,Non-essential
WBGene00006065,Non-essential
WBGene00013718,Non-essential
WBGene00007226,Non-essential
WBGene00002637,Non-essential
WBGene00001922,Essential
WBGene00004955,Essential
WBGene00013310,Non-essential
WBGene00009343,Essential
WBGene00001943,Essential
WBGene00000368,Non-essential
WBGene00015000,Non-essential
WBGene00000536,Non-essential
WBGene00012073,Non-essential
WBGene00011600,Non-essential
WBGene00019864,Non-essential
WBGene00015748,Non-essential
WBGene00006309,Non-essential
WBGene00020771,Non-essential
WBGene00010421,Non-essential
WBGene00008745,Non-essential
WBGene00017412,Non-essential
WBGene00017962,Non-essential
WBGene00017825,Non-essential
WBGene00012717,Non-essential
WBGene00017538,Non-essential
WBGene00012627,Non-essential
WBGene00003562,Non-essential
WBGene00018021,Non-essential
WBGene00012095,Non-essential
WBGene00022724,Non-essential
WBGene00021116,Non-essential
WBGene00017715,Non-essential
WBGene00014022,Non-essential
WBGene00001646,Non-essential
WBGene00011635,Non-essential
WBGene00020360,Non-essential
WBGene00018435,Non-essential
WBGene00015402,Non-essential
WBGene00006712,Non-essential
WBGene00016352,Non-essential
WBGene00003062,Non-essential
WBGene00010152,Non-essential
WBGene00006374,Essential
WBGene00014113,Non-essential
WBGene00011098,Non-essential
WBGene00003184,Essential
WBGene00013900,Non-essential
WBGene00006970,Non-essential
WBGene00011543,Non-essential
WBGene00016219,Non-essential
WBGene00015687,Non-essential
WBGene00003616,Non-essential
WBGene00009039,Non-essential
WBGene00018698,Non-essential
WBGene00018011,Non-essential
WBGene00012170,Non-essential
WBGene00018028,Non-essential
WBGene00006599,Non-essential
WBGene00011225,Non-essential
WBGene00015742,Non-essential
WBGene00012075,Non-essential
WBGene00001900,Non-essential
WBGene00008499,Non-essential
WBGene00015492,Non-essential
WBGene00011527,Essential
WBGene00012235,Essential
WBGene00020634,Non-essential
WBGene00010859,Non-essential
WBGene00018195,Non-essential
WBGene00014213,Non-essential
WBGene00007591,Non-essential
WBGene00004140,Non-essential
WBGene00006055,Non-essential
WBGene00010735,Non-essential
WBGene00019941,Non-essential
WBGene00013513,Non-essential
WBGene00014176,Non-essential
WBGene00010389,Non-essential
WBGene00018834,Non-essential
WBGene00011283,Non-essential
WBGene00019586,Non-essential
WBGene00011513,Non-essential
WBGene00008897,Non-essential
WBGene00000778,Non-essential
WBGene00016147,Non-essential
WBGene00003865,Non-essential
WBGene00015388,Non-essential
WBGene00016777,Non-essential
WBGene00007363,Non-essential
WBGene00019471,Non-essential
WBGene00020420,Non-essential
WBGene00015111,Non-essential
WBGene00008531,Non-essential
WBGene00011375,Non-essential
WBGene00016573,Non-essential
WBGene00007358,Non-essential
WBGene00022045,Non-essential
WBGene00008500,Non-essential
WBGene00005911,Non-essential
WBGene00011493,Non-essential
WBGene00011467,Non-essential
WBGene00015547,Non-essential
WBGene00015487,Essential
WBGene00022702,Non-essential
WBGene00009977,Non-essential
WBGene00004217,Essential
WBGene00017714,Non-essential
WBGene00007462,Non-essential
WBGene00008090,Non-essential
WBGene00009946,Non-essential
WBGene00001660,Non-essential
WBGene00019141,Non-essential
WBGene00020351,Non-essential
WBGene00009186,Non-essential
WBGene00018876,Non-essential
WBGene00001153,Non-essential
WBGene00020672,Non-essential
WBGene00000585,Essential
WBGene00019496,Non-essential
WBGene00009588,Non-essential
WBGene00008924,Non-essential
WBGene00003564,Non-essential
WBGene00012407,Non-essential
WBGene00001993,Non-essential
WBGene00011117,Non-essential
WBGene00011554,Non-essential
WBGene00001882,Essential
WBGene00001240,Non-essential
WBGene00009256,Non-essential
WBGene00020432,Non-essential
WBGene00010638,Non-essential
WBGene00010608,Non-essential
WBGene00019038,Non-essential
WBGene00008785,Non-essential
WBGene00010614,Non-essential
WBGene00004208,Non-essential
WBGene00015197,Non-essential
WBGene00018230,Non-essential
WBGene00044063,Non-essential
WBGene00020016,Non-essential
WBGene00019424,Non-essential
WBGene00011193,Non-essential
WBGene00009601,Non-essential
WBGene00011012,Non-essential
WBGene00016989,Essential
WBGene00015437,Non-essential
