"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score"
"348","TRIB1","Q96RU8",2,0,1,0.268,0.201,0,77.9467487001733
"16","SPINT1","O43278",28,0,1,0.107,0.2,0,77.018365901319
"56","HLA-DQB1","P01920",2,7269,4,0.257,0.2,0,87.1120975378788
"74","KRT19","P08727",2,5,3,0.374,0.199,0,81.4000710135571
"160","CD68","P34810",2,321,2,0.38,0.197,0,74.3389521640091
"156","CKS2","P33552",2,12361,6,0.368,0.194,0,92.8712195121951
"232","LTB","Q06643",2,0,1,0.279,0.194,0,78.3980803571429
"184","APLP1","P51693",4,0,1,0.12,0.183,0,69.7225207264114
"382","CCL28","Q9NRJ3",2,10856,4,0.193,0.182,0,73.2239418254764
"118","HMGA1","P17096",2,0,2,0.159,0.181,0,65.4623716381418
"373","SOX17","Q9H6I2",2,0,1,0.278,0.181,0,59.278843427835
"9","CXCL11","O14625",2,0,1,0.353,0.178,0,77.9241944444444
"294","WWC1","Q8IX03",13,0,1,0.055,0.175,0,61.5014188267394
"104","ATP6V1B1","P15313",2,640,2,0.271,0.172,0,87.1985893259835
"167","NMU","P48645",2,0,1,0.141,0.161,0,63.7295382395382
"37","CLDN7","O95471",2,646,6,0.254,0.152,0,82.249462571977
"327","MUC16","Q8WXI7",2,321,2,0.095,0.146,0,75.5181759078666
"239","PDZK1IP1","Q13113",2,0,1,0.247,0.145,0,65.2075262543757
"3","ESPN","B1AK53",2,960,4,0.114,0.144,0,68.309967416602
"372","RGCC","Q9H4X1",2,0,1,0.314,0.141,0,71.5815444770283
"20","KLK8","O60259",18,0,1,0.329,0.14,0,88.5364256619145
"247","COL9A2","Q14055",1,0,1,0.053,0.14,0,55.6342726281352
"161","CHI3L1","P36222",2,4029,3,0.134,0.135,0,94.9914594414894
"219","PITX1","P78337",2,0,1,0.326,0.132,0,63.2664494569758
"365","FOXQ1","Q9C009",2,0,1,0.151,0.132,0,62.1169364754098
"213","EPPK1","P58107",2,949,2,0.162,0.131,0,79.6003888111888
"193","RAB25","P57735",22,0,1,0.148,0.13,0,87.0835269207501
"41","CLIC3","O95833",12,0,1,0.143,0.127,0,94.1589930740543
"61","TUBB4A","P04350",2,0,1,0.19,0.124,0,92.2430899683817
"273","CFAP126","Q5VTH2",5,0,2,0.132,0.123,0,76.8137159676233
"374","ESRP2","Q9H6T0",15,0,1,0.052,0.103,0,74.3253738656987
"338","SKA1","Q96BD8",2,0,2,0.218,0.102,0,85.822417794971
"397","CHD7","Q9P2D1",2,0,1,0.653,0.101,0,61.2850644930133
"395","CHD7","Q9P2D1",2,0,1,0.058,0.1,0,58.9883284430589
"65","ISG15","P05161",2,1595,6,0.503,0.095,0,86.5401352426412
"154","SFN","P31947",2,1835,6,0.296,0.091,0,93.3850436569081
"360","CDCA7","Q9BWT1",2,0,1,0.158,0.087,0,66.7129878869448
"339","CHMP4C","Q96CF2",2,0,1,0.263,0.083,0,77.3580584099513
"29","CCNB2","O95067",2,8445,7,0.089,0.073,0,80.3833301857098
"85","SPP1","P10451",2,0,2,0.312,0.072,0,53.139786977492
"286","ILDR1","Q86SU0",2,0,1,0.115,0.071,0,58.9638745471014
"394","CHD7","Q9P2D1",2,0,1,0.057,0.066,0,58.2107583535981
"229","COL10A1","Q03692",1,1,2,-0.01,0.058,0,61.4977457264957
"200","EPPK1","P58107",2,949,2,0.207,0.048,0,78.8788004473856
"214","DEFB1","P60022",2,0,1,0.369,0.031,0,82.1570038910506
"317","EPS8L1","Q8TE68",2,0,1,0.064,0.026,0,75.6164732932437
"80","HOXB7","P09629",17,0,1,-0.001,0.021,0,66.8695204262877
"102","JUP","P14923",2,4651,4,0.091,0.021,0,81.1056283866457
"323","MUC16","Q8WXI7",2,321,2,0.186,0.021,0,67.4367753793949
"240","MAD2L1","Q13257",2,1901,4,0.178,0.019,0,93.7585265700483
"364","C15orf48","Q9C002",2,0,2,0.212,0.018,0,89.8482448377581
"296","SYTL1","Q8IYJ3",2,640,2,0.036,0.011,0,72.7778081248565
"182","CRIP1","P50238",2,0,1,0.37,0.009,0,82.3943361344538
