	Q96RS6	Q96K31	Q6KF10	Q8TAT2	Q9H0F6	Q99575	Q13630	Q9NX95	P34981
Q8NI99	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NUL5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NS82	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75074	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TDL5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96DR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14498	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BT25	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BY15	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94808	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y5H0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BT67	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13136	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49326	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86X52	NA	NA	NA	NA	NA	NA	NA	NA	NA
P09661	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NVV9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P25685	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H7M6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q66K64	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92922	NA	NA	NA	NA	NA	NA	NA	NA	NA
P56937	NA	NA	NA	NA	NA	NA	NA	NA	NA
P57772	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZJ6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NQZ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96LD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96MM6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60880	NA	NA	NA	NA	NA	NA	NA	NA	NA
P31391	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96HD9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48448	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BQC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HCZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P16499	NA	NA	NA	NA	NA	NA	NA	NA	NA
P20309	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13203	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BQ69	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UL19	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96NB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42356	NA	NA	NA	NA	NA	NA	NA	NA	NA
P30990	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62324	NA	NA	NA	NA	NA	NA	NA	NA	NA
P01116	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15397	NA	NA	NA	NA	NA	NA	NA	NA	NA
P02689	NA	NA	NA	NA	NA	NA	NA	NA	NA
P15090	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9P2D8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H7T0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43506	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43187	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14012	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NVJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H8W5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96QD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5EBM0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H3N8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6L6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49286	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q02413	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y4D2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62072	NA	NA	NA	NA	NA	NA	NA	NA	NA
P27352	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q66GS9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H013	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H2L4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y5L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P21589	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q53H80	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IYM0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92781	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q12999	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14674	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99832	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q00987	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NKB5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14146	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BXD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P11047	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96BY6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86T82	NA	NA	NA	NA	NA	NA	NA	NA	NA
P41595	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BZV2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9GZT5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q02318	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y376	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NBP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75204	NA	NA	NA	NA	NA	NA	NA	NA	NA
P82933	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3SY69	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N682	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96JW4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q969Z0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60921	NA	NA	NA	NA	NA	NA	NA	NA	NA
B0I1T2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IWB9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BX63	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H992	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0CG37	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96G21	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NGS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P02763	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42766	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13822	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BUN8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y3P8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BX68	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5T3F8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BVA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IXM6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49638	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H2Y9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IWU6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96RS0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00560	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95264	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60882	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BTE7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BRP7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H5F2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P45452	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60266	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42704	NA	NA	NA	NA	NA	NA	NA	NA	NA
P11712	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q32M84	NA	NA	NA	NA	NA	NA	NA	NA	NA
P52732	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UK59	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92547	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NWL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13427	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9P2P5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06756	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NP59	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96SL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NEL0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L157	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKU6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BZF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60669	NA	NA	NA	NA	NA	NA	NA	NA	NA
P54840	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60706	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42357	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q00537	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULS5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y616	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NQ89	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62191	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UHP7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WUM0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6P1A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5VWQ0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00463	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13573	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86YC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZS9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P05091	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60563	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35916	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96CS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P58304	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UK55	NA	NA	NA	NA	NA	NA	NA	NA	NA
P56192	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06576	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15546	NA	NA	NA	NA	NA	NA	NA	NA	NA
P33991	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TAP6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UBN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15390	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q12809	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15382	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6STE5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H336	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75762	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15629	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6D6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UQ26	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HB40	NA	NA	NA	NA	NA	NA	NA	NA	NA
P22079	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96GC9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96HE9	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94972	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16518	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99665	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BT22	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6ZRS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NX63	NA	NA	NA	NA	NA	NA	NA	NA	NA
P05981	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43439	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NUG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92569	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q32NB8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6X3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5VZM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P17213	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86X10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q11203	NA	NA	NA	NA	NA	NA	NA	NA	NA
P56696	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75882	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N129	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92747	NA	NA	NA	NA	NA	NA	NA	NA	NA
P55060	NA	NA	NA	NA	NA	NA	NA	NA	NA
P25874	NA	NA	NA	NA	NA	NA	NA	NA	NA
P27361	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96HY7	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14832	NA	NA	NA	NA	NA	NA	NA	NA	NA
P41279	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16204	NA	NA	NA	NA	NA	NA	NA	NA	NA
P52907	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q32ZL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96RN5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00192	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q712K3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P08247	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61158	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NVP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HBG7	NA	NA	NA	NA	NA	NA	NA	NA	NA
P56373	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NPH5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UWB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L0T0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95402	NA	NA	NA	NA	NA	NA	NA	NA	NA
P13671	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H0J9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULE6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P46199	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q53T94	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6WN34	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15005	NA	NA	NA	NA	NA	NA	NA	NA	NA
P16109	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZI6	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75063	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99814	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N5C6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P22059	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95602	NA	NA	NA	NA	NA	NA	NA	NA	NA
P40121	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IVH8	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43815	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKJ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35968	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TBB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94768	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H8M1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NDI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9GZV3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16760	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q16854	NA	NA	NA	NA	NA	NA	NA	NA	NA
P15336	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13753	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14566	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60583	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5FWF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
P09848	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00116	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H8P0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NC60	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75417	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H2J4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HB29	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95256	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96Q42	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y2X3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P42681	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06276	NA	NA	NA	NA	NA	NA	NA	NA	NA
P14410	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48167	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NWW7	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35612	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6N8	NA	NA	NA	NA	NA	NA	NA	NA	NA
P27708	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y6K1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61026	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NZQ0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14782	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H3D4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HDD0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35611	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NRM0	NA	NA	NA	NA	NA	NA	NA	NA	NA
P12980	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95897	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NXL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7Z3B4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14108	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IZH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UM21	NA	NA	NA	NA	NA	NA	NA	NA	NA
P43403	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q06190	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NHQ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q709F0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKY7	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49619	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UNL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
O76061	NA	NA	NA	NA	NA	NA	NA	NA	NA
P43003	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H089	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HCL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NP58	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H944	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9HAV4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q03060	NA	NA	NA	NA	NA	NA	NA	NA	NA
P36537	NA	NA	NA	NA	NA	NA	NA	NA	NA
P05937	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60934	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13107	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H3S7	NA	NA	NA	NA	NA	NA	NA	NA	NA
P13861	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q12770	NA	NA	NA	NA	NA	NA	NA	NA	NA
P41145	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51788	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96RQ3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UQV4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15166	NA	NA	NA	NA	NA	NA	NA	NA	NA
P50416	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13488	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35790	NA	NA	NA	NA	NA	NA	NA	NA	NA
P21439	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UBU7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9P2G1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15056	NA	NA	NA	NA	NA	NA	NA	NA	NA
P24752	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N336	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y3B8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14534	NA	NA	NA	NA	NA	NA	NA	NA	NA
P14735	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14981	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75093	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5T4F7	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49770	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13936	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H0R8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5BKT4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WYA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H0C3	NA	NA	NA	NA	NA	NA	NA	NA	NA
P26842	NA	NA	NA	NA	NA	NA	NA	NA	NA
P82980	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86YJ5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48060	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96HH6	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75473	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H2J7	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6ZXV5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60938	NA	NA	NA	NA	NA	NA	NA	NA	NA
P50553	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6ZMH5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15130	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TAQ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y600	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UX01	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IYL9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WYK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13572	NA	NA	NA	NA	NA	NA	NA	NA	NA
P54098	NA	NA	NA	NA	NA	NA	NA	NA	NA
P12271	NA	NA	NA	NA	NA	NA	NA	NA	NA
P08910	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q08431	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92186	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UKL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WWZ4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q86WR6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y4W6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H706	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15118	NA	NA	NA	NA	NA	NA	NA	NA	NA
P52565	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BSA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WVN6	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96PX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6NT55	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96Q77	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96L12	NA	NA	NA	NA	NA	NA	NA	NA	NA
P57058	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q01959	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BSF4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BQ95	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N4M1	NA	NA	NA	NA	NA	NA	NA	NA	NA
P19397	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95562	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BZD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15047	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96G23	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H4A5	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95259	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6IQ49	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75610	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00797	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75335	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96BM9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7Z4P5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62745	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H221	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0DP24	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9P1Q0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N1N0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00470	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y3C4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UHE5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BST9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TD22	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6UWH6	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75897	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q13021	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8WUM9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92575	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15514	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9C0E8	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UIK5	NA	NA	NA	NA	NA	NA	NA	NA	NA
P25106	NA	NA	NA	NA	NA	NA	NA	NA	NA
P48751	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9ULA0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y2B0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y2K3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NUJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q53H76	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7Z4T9	NA	NA	NA	NA	NA	NA	NA	NA	NA
P38606	NA	NA	NA	NA	NA	NA	NA	NA	NA
